                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1913,                 2.3454,                0.73264,                 3.7087,                 1.5858,                0.35667,                0.46563,                0.42724,                0.24449,                0.36516,                0.47511,                0.43947,                0.30276,                  1.404,                 1.7426,                0.69601,                  3.159,                 1.1255,                 0.0029,                 0.0029,                 0.0029
                      2,                 1.2507,                 1.4058,                0.59552,                 1.7047,                 1.0171,                0.61535,                0.69982,                0.71016,                0.42535,                0.57625,                0.72721,                0.68053,                0.46831,                 1.2752,                 1.4363,                0.62728,                 1.6639,                 1.0666,              0.0058988,              0.0058988,              0.0058988
                      3,                 1.2674,                 1.1241,                 0.4835,                 1.3578,                0.99904,                0.83555,                0.64523,                 0.9357,                0.66349,                0.82151,                0.62924,                0.91394,                0.72795,                0.96771,                0.93186,                0.39977,                 1.8007,                0.97079,              0.0088965,              0.0088965,              0.0088965
                      4,                 1.1888,                0.91503,                0.34214,                 1.2256,                 1.0011,                0.92754,                0.90107,                0.93071,                0.67598,                0.86852,                0.84521,                0.84872,                0.70541,                0.89369,                0.79167,                 0.1455,                 2.1572,                0.94634,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.1431,                 0.7888,                0.25044,                 1.0093,                0.98564,                0.96634,                0.95454,                0.98022,                0.72177,                0.95475,                0.94427,                0.96934,                0.83631,                0.94608,                0.67238,                0.07915,                0.98962,                0.97145,              0.0099941,              0.0099941,              0.0099941
                      6,                  1.069,                0.64983,                0.20696,                0.86116,                0.96277,                0.94228,                0.94188,                0.97637,                0.74895,                0.89857,                 0.9017,                0.91741,                0.67341,                0.86116,                 1.0226,                0.05397,                0.75748,                0.91853,              0.0099921,              0.0099921,              0.0099921
                      7,                0.99127,                0.51266,                0.20295,                0.78443,                0.94364,                0.97621,                0.96698,                0.98618,                0.76936,                0.96888,                0.95197,                0.97218,                0.88463,                0.78838,                0.49715,                0.03981,                0.66895,                0.89374,              0.0099901,              0.0099901,              0.0099901
                      8,                0.95066,                0.46707,                  0.169,                0.73959,                0.93313,                0.97623,                0.97025,                0.98661,                0.77679,                0.97053,                0.96452,                0.97887,                0.88974,                0.74355,                0.38477,                0.02779,                0.65563,                0.87553,              0.0099881,              0.0099881,              0.0099881
                      9,                0.92219,                0.37313,                0.16806,                0.68926,                0.91194,                0.96866,                0.96232,                 0.9823,                0.75872,                0.97254,                0.96517,                0.98533,                0.93264,                0.80866,                0.26623,                 0.0296,                0.68413,                0.88928,              0.0099861,              0.0099861,              0.0099861
                     10,                0.92474,                0.31485,                0.15757,                0.66931,                0.91608,                0.96234,                0.96984,                0.98813,                0.80216,                0.96561,                0.96587,                0.98594,                0.96804,                0.72659,                0.20387,                 0.0262,                0.55366,                0.86388,              0.0099842,              0.0099842,              0.0099842
                     11,                0.89216,                0.29605,                0.14128,                0.61196,                0.89567,                0.98194,                0.96925,                0.98924,                0.82438,                 0.9798,                0.96717,                0.98658,                0.95032,                0.68666,                0.27099,                0.02297,                0.49402,                0.85706,              0.0099822,              0.0099822,              0.0099822
                     12,                0.84572,                 0.3239,                0.13758,                0.62141,                0.89093,                0.98301,                0.97541,                0.98945,                0.80812,                0.97994,                0.97197,                0.98382,                 0.9768,                0.71504,                0.21827,                0.02414,                0.57854,                0.86957,              0.0099802,              0.0099802,              0.0099802
                     13,                0.86599,                0.26231,                0.14552,                0.60168,                0.90231,                0.97993,                0.94688,                0.97742,                0.75675,                0.96772,                0.96443,                0.97986,                0.94843,                0.85603,                0.29054,                0.02791,                0.65018,                0.89847,              0.0099782,              0.0099782,              0.0099782
                     14,                0.76142,                  0.287,                 0.1262,                0.64442,                0.87223,                0.98316,                0.97659,                0.99212,                0.82676,                0.98093,                0.97604,                0.98963,                0.97825,                0.63878,                 0.1833,                 0.0213,                0.59723,                0.85167,              0.0099762,              0.0099762,              0.0099762
                     15,                0.77381,                0.26255,                0.12796,                0.58066,                0.88456,                0.98215,                0.97971,                0.99292,                0.76978,                0.98325,                0.97787,                0.99034,                0.94963,                0.83372,                0.20416,                0.02146,                0.55164,                0.88851,              0.0099743,              0.0099743,              0.0099743
                     16,                0.82261,                0.22219,                0.13562,                0.56487,                0.88357,                0.98807,                0.98264,                0.99312,                0.86367,                0.98615,                 0.9828,                0.99258,                0.98841,                0.54842,                 0.1229,                0.02421,                0.41015,                0.83512,              0.0099723,              0.0099723,              0.0099723
                     17,                0.75189,                0.21701,                0.11188,                0.53318,                0.86938,                0.98699,                0.97859,                0.99292,                0.83634,                0.98641,                0.97647,                0.99084,                0.98524,                  0.633,                0.15567,                 0.0203,                0.45484,                0.84182,              0.0099703,              0.0099703,              0.0099703
                     18,                0.73728,                0.26268,                 0.1123,                0.55399,                0.87031,                0.98502,                0.98177,                0.99327,                0.85028,                 0.9892,                0.97601,                0.99061,                0.98135,                0.56617,                0.18393,                 0.0183,                0.43484,                0.83555,              0.0099683,              0.0099683,              0.0099683
                     19,                 0.7125,                0.22503,                0.11073,                0.53283,                0.86816,                0.98343,                0.98031,                0.99252,                0.84545,                0.98471,                0.97432,                0.98755,                 0.9831,                0.61992,                0.18046,                0.01781,                0.43021,                0.84288,              0.0099663,              0.0099663,              0.0099663
                     20,                0.73331,                0.23217,                0.11225,                0.51748,                0.86806,                 0.9826,                0.98342,                 0.9925,                 0.8195,                 0.9816,                0.97914,                0.98931,                 0.9846,                 0.6899,                0.15843,                 0.0191,                0.42102,                0.85471,              0.0099644,              0.0099644,              0.0099644
                     21,                0.73885,                0.21691,                0.11327,                0.50052,                0.86374,                0.98643,                0.98698,                0.99402,                 0.8455,                0.98495,                0.98214,                0.99114,                0.98781,                0.62936,                0.13533,                0.01613,                0.39922,                0.83969,              0.0099624,              0.0099624,              0.0099624
                     22,                0.71864,                0.25864,                0.11036,                 0.4918,                0.85902,                0.98984,                0.97986,                0.99355,                0.86093,                0.98631,                0.97489,                0.99109,                0.98758,                0.58196,                0.13869,                0.01937,                0.40174,                0.83052,              0.0099604,              0.0099604,              0.0099604
                     23,                0.70725,                0.20134,                0.09587,                0.48477,                0.85579,                0.99106,                0.98288,                0.99421,                0.83559,                0.98931,                0.98073,                0.98967,                0.98699,                0.66842,                0.15634,                0.01661,                0.43533,                0.84977,              0.0099584,              0.0099584,              0.0099584
                     24,                0.67302,                0.24442,                0.09559,                0.48503,                0.85451,                0.99103,                0.98697,                0.99456,                 0.8202,                 0.9896,                0.98438,                0.99202,                0.98858,                0.71334,                0.13997,                0.01537,                0.46468,                 0.8579,              0.0099564,              0.0099564,              0.0099564
                     25,                0.70617,                0.16412,                0.09463,                 0.4701,                0.86046,                0.99392,                0.98977,                 0.9945,                0.85288,                0.99312,                0.98769,                0.99417,                 0.9911,                 0.6114,                 0.1102,                 0.0124,                0.40475,                0.83094,              0.0099545,              0.0099545,              0.0099545
                     26,                 0.6796,                0.16954,                0.08849,                0.47018,                0.85128,                0.99447,                0.99047,                0.99473,                0.87118,                0.99029,                 0.9863,                0.99199,                0.99022,                0.52442,                0.12526,                0.01535,                0.37753,                0.82131,              0.0099525,              0.0099525,              0.0099525
                     27,                0.66139,                0.20169,                0.09268,                0.46253,                0.85088,                0.99339,                0.98748,                 0.9944,                0.88514,                0.98971,                0.98333,                0.98933,                0.98778,                0.49237,                0.14106,                0.01351,                0.37681,                0.81632,              0.0099505,              0.0099505,              0.0099505
                     28,                0.65149,                0.18484,                0.09218,                  0.459,                 0.8496,                0.99192,                0.98594,                0.99414,                0.89118,                0.99145,                0.98514,                0.99193,                0.98969,                0.50642,                0.10952,                0.01656,                 0.3888,                0.82301,              0.0099485,              0.0099485,              0.0099485
                     29,                0.67748,                0.16092,                0.08035,                0.45978,                0.84955,                0.99583,                0.98825,                0.99464,                 0.8655,                0.99523,                 0.9879,                0.99428,                0.99072,                0.56116,                0.09701,                0.01333,                0.37791,                0.82484,              0.0099465,              0.0099465,              0.0099465
                     30,                0.64411,                 0.1609,                0.08257,                0.45785,                0.84846,                0.99272,                0.99062,                0.99458,                 0.8904,                0.99229,                0.99009,                0.99436,                 0.9926,                0.47907,                0.08629,                0.01192,                0.37293,                0.81144,              0.0099446,              0.0099446,              0.0099446
                     31,                0.62314,                0.18842,                0.08107,                0.45002,                0.84255,                0.99196,                0.98958,                0.99462,                0.86738,                0.99039,                 0.9875,                0.99213,                0.98983,                0.55771,                0.11824,                0.01212,                0.39084,                0.82905,              0.0099426,              0.0099426,              0.0099426
                     32,                0.64424,                0.17804,                0.08494,                0.45618,                0.85318,                0.99378,                0.98717,                0.99461,                0.86387,                0.99257,                0.98479,                0.99251,                0.99174,                0.58699,                0.10136,                0.01215,                0.38406,                0.83504,              0.0099406,              0.0099406,              0.0099406
                     33,                0.64035,                0.16835,                0.07624,                0.43433,                0.84439,                0.99637,                 0.9889,                0.99473,                0.88614,                0.99367,                0.98631,                0.99327,                0.99109,                0.50302,                0.08794,                0.01137,                0.34602,                 0.8179,              0.0099386,              0.0099386,              0.0099386
                     34,                0.65333,                0.17231,                0.07823,                0.44037,                0.84972,                0.99318,                0.98756,                0.99457,                0.86886,                0.99014,                0.98856,                0.99218,                 0.9915,                0.55547,                 0.1015,                0.01013,                0.34892,                0.82681,              0.0099366,              0.0099366,              0.0099366
                     35,                0.62851,                0.16488,                0.07309,                0.44036,                0.84396,                0.99446,                0.98698,                0.99449,                0.87575,                0.99206,                0.98333,                0.99198,                0.98967,                0.52685,                0.11684,                0.00918,                 0.3727,                0.81738,              0.0099347,              0.0099347,              0.0099347
                     36,                 0.5938,                0.16109,                0.07286,                0.43263,                0.84725,                0.99396,                0.99398,                0.99486,                0.90515,                0.99027,                0.99098,                0.99225,                 0.9909,                0.44806,                0.10218,                0.00931,                0.31931,                0.80598,              0.0099327,              0.0099327,              0.0099327
                     37,                0.60805,                0.16114,                0.07255,                0.43107,                0.84388,                0.99603,                 0.9873,                0.99464,                0.87702,                0.99551,                0.98653,                0.99245,                0.99135,                0.52872,                0.10081,                0.00995,                0.36012,                0.81991,              0.0099307,              0.0099307,              0.0099307
                     38,                0.59861,                0.14997,                0.06886,                0.43166,                0.84164,                0.99499,                0.99174,                0.99485,                0.89333,                 0.9934,                0.99035,                0.99438,                0.99225,                0.47985,                0.09286,                0.00976,                0.33584,                0.81206,              0.0099287,              0.0099287,              0.0099287
                     39,                0.61078,                0.14761,                0.07015,                0.40575,                0.83931,                0.99332,                0.99051,                0.99468,                 0.8899,                0.99142,                0.98796,                0.99189,                0.98929,                0.48581,                0.11409,                 0.0078,                0.32997,                 0.8141,              0.0099267,              0.0099267,              0.0099267
                     40,                0.60635,                0.17462,                 0.0713,                0.42772,                0.84314,                0.99502,                 0.9875,                0.99482,                0.88615,                0.99291,                0.98542,                0.99239,                0.99158,                0.49511,                0.10097,                0.00932,                0.34627,                0.81251,              0.0099248,              0.0099248,              0.0099248
                     41,                0.60238,                0.15739,                0.07003,                0.42544,                0.84459,                0.99311,                0.98639,                0.99445,                0.87301,                0.99263,                0.98281,                  0.993,                0.99153,                0.54121,                 0.0976,                0.01084,                 0.3846,                0.82788,              0.0099228,              0.0099228,              0.0099228
                     42,                0.59451,                 0.1491,                 0.0644,                0.40948,                0.83749,                0.99363,                0.99186,                0.99479,                0.89159,                0.99382,                0.98582,                 0.9919,                 0.9895,                0.49257,                0.12556,                0.00667,                0.34274,                0.81965,              0.0099208,              0.0099208,              0.0099208
                     43,                0.62145,                0.13537,                0.05727,                0.41686,                0.84144,                 0.9937,                0.99243,                0.99483,                0.87345,                0.99144,                0.99074,                0.99248,                0.99189,                0.53344,                0.09304,                  0.007,                0.33062,                0.82071,              0.0099188,              0.0099188,              0.0099188
                     44,                0.58539,                 0.1338,                0.05549,                 0.3982,                0.83814,                0.99581,                0.99318,                0.99483,                0.91063,                0.99518,                0.99212,                0.99466,                0.99278,                0.42523,                0.09085,                  0.008,                0.31758,                0.80303,              0.0099168,              0.0099168,              0.0099168
                     45,                0.57851,                0.15777,                0.05973,                0.40602,                0.83259,                 0.9913,                0.98605,                 0.9941,                0.88383,                0.99024,                0.98501,                0.99382,                0.99266,                0.52577,                0.08486,                0.01064,                0.34857,                0.82018,              0.0099149,              0.0099149,              0.0099149
                     46,                0.56746,                0.15189,                0.06202,                0.39425,                0.83643,                0.99343,                0.98463,                0.99452,                0.88497,                0.99351,                0.98421,                0.99436,                0.99172,                 0.4881,                0.09951,                0.01128,                0.39727,                 0.8136,              0.0099129,              0.0099129,              0.0099129
                     47,                0.58323,                0.14626,                0.05848,                0.42359,                0.84059,                0.99286,                0.99375,                0.99484,                0.88714,                0.99317,                0.99406,                0.99486,                0.99338,                0.52344,                 0.0798,                0.00803,                0.34314,                 0.8175,              0.0099109,              0.0099109,              0.0099109
                     48,                0.57139,                0.15756,                0.06619,                0.41736,                0.83602,                0.99547,                 0.9943,                 0.9949,                0.89728,                0.99186,                0.99063,                0.99241,                0.99168,                0.49856,                0.09035,                0.00823,                0.33082,                 0.8128,              0.0099089,              0.0099089,              0.0099089
                     49,                0.57425,                0.13031,                0.05135,                0.39299,                0.83144,                 0.9971,                0.99375,                0.99495,                0.90063,                0.99657,                0.99323,                0.99492,                 0.9946,                0.45246,                0.06474,                0.00598,                0.33806,                0.80598,              0.0099069,              0.0099069,              0.0099069
                     50,                0.55554,                0.16912,                0.04946,                0.40229,                 0.8314,                0.99097,                0.99219,                0.99447,                0.87313,                0.98922,                0.99219,                0.99431,                0.99307,                0.54259,                0.08702,                0.00672,                0.34634,                 0.8223,               0.009905,               0.009905,               0.009905
                     51,                0.57722,                0.13529,                0.05004,                0.39765,                0.82951,                0.99179,                0.99416,                0.99471,                0.91986,                0.99268,                0.98993,                0.99285,                0.99259,                0.41465,                0.07766,                0.00748,                0.30325,                0.80068,               0.009903,               0.009903,               0.009903
                     52,                0.58584,                0.10916,                0.04974,                0.38923,                0.83776,                 0.9934,                0.99385,                0.99485,                0.89987,                0.99491,                0.98802,                0.99237,                0.99207,                0.46145,                0.08725,                0.00545,                0.31165,                0.80806,               0.009901,               0.009901,               0.009901
                     53,                0.54999,                0.11438,                0.05277,                0.37526,                0.83064,                0.99419,                0.99364,                 0.9949,                0.88835,                 0.9938,                0.98681,                0.98993,                0.98842,                0.48038,                0.13068,                0.00807,                0.32431,                0.80944,               0.009899,               0.009899,               0.009899
