                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1219,                 2.3491,                0.72256,                 3.6509,                 1.5287,                 0.4117,                0.52233,                0.48182,                0.35975,                0.40972,                0.53159,                0.48434,                0.33773,                 1.0193,                 1.7001,                 0.6962,                 2.9409,                 1.0155,                 0.0031,                 0.0031,                 0.0031
                      2,                  1.309,                 1.4053,                0.58445,                 1.6527,                 1.0226,                0.68672,                0.85523,                0.81467,                0.61251,                0.66681,                0.83078,                0.77924,                0.55412,                0.95179,                 1.3218,                0.58319,                  1.613,                0.94018,              0.0062988,              0.0062988,              0.0062988
                      3,                 1.1867,                 1.1005,                0.46774,                  1.433,                0.98977,                0.74109,                0.92389,                0.91041,                0.55981,                0.72801,                0.90607,                0.89058,                0.71277,                 1.1942,                0.94051,                0.34127,                  3.126,                 1.0446,              0.0094962,              0.0094962,              0.0094962
                      4,                 1.2483,                0.92756,                0.32253,                  1.131,                 1.0131,                0.90367,                0.90014,                0.93946,                0.69709,                0.85813,                0.84946,                0.85796,                0.72422,                0.92614,                0.83411,                0.13325,                 1.2479,                0.94448,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.0522,                0.79823,                0.23362,                0.91113,                0.96013,                0.96206,                 0.9431,                0.97435,                0.73647,                0.96755,                0.93535,                0.96607,                0.82998,                0.88603,                0.67448,                0.07777,                0.89802,                0.92259,              0.0099941,              0.0099941,              0.0099941
                      6,                 1.0808,                0.63981,                 0.1903,                0.83666,                0.95717,                0.91445,                0.93431,                0.97499,                 0.7509,                0.91513,                0.92838,                0.97316,                0.88863,                0.83993,                0.49023,                0.05232,                0.81236,                0.90347,              0.0099921,              0.0099921,              0.0099921
                      7,                0.94885,                0.57818,                0.18163,                0.76047,                0.93674,                0.97017,                0.94373,                 0.9775,                0.72818,                0.96091,                0.93649,                0.96192,                0.86491,                0.91827,                0.61364,                0.04343,                0.71577,                 0.9352,              0.0099901,              0.0099901,              0.0099901
                      8,                0.99718,                 0.4017,                0.15905,                0.72482,                0.93015,                0.95873,                0.95843,                0.98035,                0.76705,                0.95623,                0.95309,                0.97656,                 0.9034,                0.78321,                0.34979,                 0.0312,                0.66114,                0.87938,              0.0099881,              0.0099881,              0.0099881
                      9,                0.87089,                0.35775,                0.15277,                0.70012,                0.90679,                0.96775,                 0.9651,                0.98612,                0.81136,                0.96643,                0.96272,                0.98458,                0.92864,                0.65332,                0.27054,                0.03497,                0.86006,                 0.8527,              0.0099861,              0.0099861,              0.0099861
                     10,                0.83669,                 0.3262,                0.15868,                0.67628,                0.89816,                0.98705,                0.96519,                0.98948,                 0.8246,                0.97918,                0.95601,                0.97981,                0.93538,                0.64921,                0.28272,                0.03258,                0.54578,                0.84918,              0.0099842,              0.0099842,              0.0099842
                     11,                0.86216,                 0.3144,                0.13826,                0.62421,                0.89203,                0.96452,                0.94208,                0.98169,                0.82468,                0.96399,                0.94086,                0.97872,                0.94607,                0.63255,                0.23087,                 0.0468,                0.56055,                0.84802,              0.0099822,              0.0099822,              0.0099822
                     12,                0.79693,                0.30779,                0.15251,                0.62435,                0.89278,                0.97139,                 0.9532,                0.98182,                0.81949,                0.92045,                0.89839,                0.90053,                0.82406,                0.66246,                0.65799,                0.04154,                0.51766,                0.85975,              0.0099802,              0.0099802,              0.0099802
                     13,                0.78872,                0.28704,                0.13734,                0.56972,                 0.8882,                0.98489,                0.98026,                0.99318,                0.85491,                0.98334,                0.97872,                0.99178,                0.98064,                0.59448,                0.15373,                0.03359,                0.45863,                0.84065,              0.0099782,              0.0099782,              0.0099782
