{(16.1,35.5,292.0),(-80.047,-443.528,265.667,133.165,4.727,-3.144),(-100,-600,0)}
{(39.4,13.2,277.0),(-103.349,-435.488,251.55,135.52,-4.875,-2.262),(-100,-600,0)}
{(43.7,43.7,359.0),(-86.314,-410.426,322.3,129.904,-1.002,-2.168),(-100,-600,0)}
{(69.7,-0.1,327.0),(-106.142,-404.851,296.126,134.72,-10.556,-2.92),(-100,-600,0)}
{(41.1,29.4,322.0),(4.854,-438.728,280.73,131.421,11.092,-10.95),(-100,-600,0)}
{(33.1,24.2,322.0),(-108.861,-431.288,281.129,130.018,4.299,-20.077),(-200,-600,0)}
{(82.3,7.8,317.0),(-124.035,-419.221,284.534,132.084,-6.009,-15.979),(-200,-600,0)}
{(55.4,5.7,283.0),(-55.985,-413.972,202.77,122.346,10.184,-20.233),(-200,-600,0)}
{(76.3,-5.7,277.0),(-119.832,-399.869,225.758,127.504,-6.606,-15.098),(-200,-600,0)}
{(85.8,-35.6,377.0),(-82.543,-348.381,311.232,128.745,-4.126,-18.107),(-200,-600,0)}
{(37.9,43.2,284.0),(143.881,-292.562,215.237,118.562,3.956,-2.714),(100,-500,0)}
{(-10.1,36.3,302.0),(151.596,-273.724,219.992,116.474,10.794,-9.4),(100,-500,0)}
{(3.5,-15.9,304.0),(154.719,-263.288,230.594,125.601,12.069,-4.823),(100,-500,0)}
{(58.2,26.9,277.0),(122.192,-305.411,227.306,127.312,7.008,12.508),(100,-500,0)}
{(-4.7,78.2,323.0),(94.93,-301.624,269.72,119.137,9.414,5.851),(100,-500,0)}
{(-21.5,-56.6,361.0),(-24.018,-366.143,366.27,136.536,12.07,-13.705),(-100,-600,50)}
{(-25.8,-42.5,370.0),(-25.95,-370.408,375.219,135.214,12.313,-13.994),(-100,-60,50)}
{(-34.5,-10.2,366.0),(-16.335,-348.707,337.924,124.761,-13.934,-16.407),(-100,-60,50)}
{(14.0,20.3,334.0),(-4.815,-351.059,279.232,116.448,11.985,-12.546),(-100,-60,50)}
{(38.3,14.2,339.0),(-16.613,-351.72,295.639,119.708,7.084,-9.137),(-100,-600,50)}
