                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.61992,                0.65697,                0.86856,                0.99892,                      1,                  0.995,                0.86034,                0.60176,                0.32093,                0.88386,             0.00034655,             0.00034655,             0.00034655
                     33,                0.60487,                0.64322,                0.88202,                0.99885,                      1,                  0.995,                0.84866,                0.62412,                0.33216,                 0.8925,              0.0003416,              0.0003416,              0.0003416
                     34,                0.60247,                0.65156,                0.88609,                0.99884,                      1,                  0.995,                0.85095,                0.61299,                0.34726,                0.88631,             0.00033665,             0.00033665,             0.00033665
                     35,                0.59293,                0.64525,                0.88141,                0.99895,                      1,                  0.995,                 0.8684,                 0.6014,                0.32946,                0.88177,              0.0003317,              0.0003317,              0.0003317
                     36,                0.59157,                 0.6179,                0.87452,                0.99891,                      1,                  0.995,                0.85545,                0.61455,                0.31462,                0.88323,             0.00032675,             0.00032675,             0.00032675
                     37,                0.58255,                0.61669,                0.87039,                0.99887,                      1,                  0.995,                0.85075,                0.58518,                0.31931,                0.87504,              0.0003218,              0.0003218,              0.0003218
                     38,                0.59212,                0.58865,                0.85553,                0.99885,                      1,                  0.995,                0.85746,                0.58492,                0.31123,                0.87804,             0.00031685,             0.00031685,             0.00031685
                     39,                0.59754,                0.59696,                0.87682,                0.99889,                      1,                  0.995,                0.86836,                0.55501,                0.30419,                 0.8708,              0.0003119,              0.0003119,              0.0003119
                     40,                0.58211,                0.56545,                0.86972,                0.99889,                      1,                  0.995,                0.84416,                0.60349,                0.30492,                0.88555,             0.00030695,             0.00030695,             0.00030695
                     41,                0.59007,                0.59015,                0.87364,                0.99892,                      1,                  0.995,                0.86585,                 0.5779,                0.30118,                0.87016,               0.000302,               0.000302,               0.000302
                     42,                0.60588,                0.58725,                0.87431,                0.99888,                      1,                  0.995,                 0.8545,                0.61866,                0.30996,                0.88843,             0.00029705,             0.00029705,             0.00029705
                     43,                0.59946,                0.57334,                0.88619,                 0.9989,                      1,                  0.995,                0.85781,                0.59165,                0.31686,                0.87611,              0.0002921,              0.0002921,              0.0002921
                     44,                 0.5959,                0.59178,                0.86371,                0.99883,                      1,                  0.995,                0.87117,                0.57268,                0.31592,                0.86862,             0.00028715,             0.00028715,             0.00028715
                     45,                0.57173,                0.55597,                 0.8664,                 0.9989,                      1,                  0.995,                0.85775,                0.62783,                0.30979,                0.88582,              0.0002822,              0.0002822,              0.0002822
                     46,                0.59176,                0.55103,                0.87288,                0.99889,                      1,                  0.995,                0.86837,                0.56737,                0.29584,                0.86882,             0.00027725,             0.00027725,             0.00027725
                     47,                0.55653,                0.52015,                0.86016,                0.99888,                      1,                  0.995,                0.87922,                0.60451,                0.29553,                0.87385,              0.0002723,              0.0002723,              0.0002723
                     48,                0.56295,                0.53821,                0.86676,                0.99888,                      1,                  0.995,                0.87498,                0.58858,                0.30137,                 0.8718,             0.00026735,             0.00026735,             0.00026735
                     49,                0.57045,                0.53991,                0.88202,                0.99889,                      1,                  0.995,                0.86906,                0.58671,                0.30832,                0.87472,              0.0002624,              0.0002624,              0.0002624
                     50,                0.56637,                0.51817,                0.87783,                0.99892,                      1,                  0.995,                0.86611,                0.57394,                0.28571,                0.86895,             0.00025745,             0.00025745,             0.00025745
                     51,                0.58948,                0.49976,                 0.8713,                0.99888,                      1,                  0.995,                0.86164,                0.60098,                0.29648,                0.87876,              0.0002525,              0.0002525,              0.0002525
                     52,                0.55609,                 0.5183,                0.87024,                0.99891,                      1,                  0.995,                0.86575,                0.57194,                0.27486,                 0.8669,             0.00024755,             0.00024755,             0.00024755
                     53,                0.54678,                0.49169,                0.85426,                 0.9989,                      1,                  0.995,                0.86919,                0.58802,                0.28727,                0.87216,              0.0002426,              0.0002426,              0.0002426
                     54,                0.56248,                0.52221,                  0.861,                 0.9989,                      1,                  0.995,                0.85848,                0.60647,                0.28961,                0.87878,             0.00023765,             0.00023765,             0.00023765
                     55,                0.54376,                 0.4869,                0.85207,                0.99892,                      1,                  0.995,                0.86316,                0.58534,                0.28776,                0.87241,              0.0002327,              0.0002327,              0.0002327
                     56,                0.55389,                0.50294,                0.86461,                0.99889,                      1,                  0.995,                0.86562,                0.59753,                0.29473,                0.87999,             0.00022775,             0.00022775,             0.00022775
                     57,                0.56925,                0.49067,                0.87629,                0.99889,                      1,                  0.995,                0.87004,                 0.5762,                 0.2867,                0.86966,              0.0002228,              0.0002228,              0.0002228
                     58,                0.55415,                0.50555,                0.87164,                0.99887,                      1,                  0.995,                0.86102,                 0.5664,                0.27628,                0.87067,             0.00021785,             0.00021785,             0.00021785
                     59,                0.58752,                0.49548,                0.87588,                0.99891,                      1,                  0.995,                0.86021,                0.60278,                0.28592,                0.87989,              0.0002129,              0.0002129,              0.0002129
                     60,                0.53958,                0.48622,                0.86362,                0.99886,                      1,                  0.995,                0.86398,                0.59321,                0.28285,                0.87401,             0.00020795,             0.00020795,             0.00020795
                     61,                0.56445,                0.48314,                0.86623,                0.99888,                      1,                  0.995,                0.85444,                0.57207,                0.27314,                0.87043,               0.000203,               0.000203,               0.000203
                     62,                0.57281,                0.47763,                0.84972,                0.99886,                      1,                  0.995,                0.85199,                 0.5968,                0.29881,                0.87668,             0.00019805,             0.00019805,             0.00019805
