                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.73561,                0.50307,                0.85584,                0.99406,                      1,                0.99329,                0.77197,                0.87784,                0.37468,                0.93576,              0.0003218,              0.0003218,              0.0003218
                     38,                0.70891,                0.48818,                0.85887,                0.99417,                      1,                 0.9935,                0.78276,                 0.8522,                0.36227,                0.92798,             0.00031685,             0.00031685,             0.00031685
                     39,                0.68652,                0.48275,                0.86314,                0.99417,                      1,                0.99396,                0.77506,                0.89744,                0.38095,                0.94207,              0.0003119,              0.0003119,              0.0003119
                     40,                0.69588,                0.46301,                0.87069,                0.99411,                      1,                0.99236,                0.77279,                0.89169,                0.36974,                0.94249,             0.00030695,             0.00030695,             0.00030695
                     41,                0.71487,                0.48636,                0.87846,                0.99421,                      1,                0.99272,                 0.7833,                0.86862,                0.38223,                0.93779,               0.000302,               0.000302,               0.000302
                     42,                0.67797,                0.46108,                0.85412,                0.99426,                      1,                0.99153,                0.76944,                0.89853,                0.37321,                0.94748,             0.00029705,             0.00029705,             0.00029705
                     43,                0.70794,                0.47497,                0.86966,                0.99432,                      1,                 0.9935,                0.77956,                0.86635,                0.36069,                0.93506,              0.0002921,              0.0002921,              0.0002921
                     44,                0.69943,                0.45264,                0.85092,                0.99415,                      1,                0.99225,                0.77155,                0.85708,                0.36071,                 0.9345,             0.00028715,             0.00028715,             0.00028715
                     45,                0.69457,                0.46798,                0.84568,                0.99395,                      1,                0.99158,                0.77002,                0.87682,                0.35537,                0.93327,              0.0002822,              0.0002822,              0.0002822
                     46,                 0.6962,                0.44815,                 0.8552,                 0.9938,                      1,                0.99184,                  0.774,                0.86268,                0.35847,                0.93624,             0.00027725,             0.00027725,             0.00027725
                     47,                0.68021,                 0.4508,                0.86235,                0.99385,                      1,                0.99231,                 0.7728,                0.87932,                0.36319,                0.93838,              0.0002723,              0.0002723,              0.0002723
                     48,                 0.6827,                 0.4388,                0.86632,                0.99356,                      1,                0.99262,                0.76422,                0.92866,                0.36374,                0.95211,             0.00026735,             0.00026735,             0.00026735
                     49,                0.66605,                0.43905,                0.85961,                0.99402,                      1,                0.99117,                 0.7721,                0.88041,                0.34914,                0.93981,              0.0002624,              0.0002624,              0.0002624
                     50,                0.65406,                0.43599,                0.85475,                0.99385,                      1,                0.99137,                0.77683,                0.87062,                0.35369,                0.93593,             0.00025745,             0.00025745,             0.00025745
                     51,                  0.674,                0.44556,                0.86187,                0.99387,                      1,                0.99277,                0.78383,                 0.8676,                0.35368,                 0.9357,              0.0002525,              0.0002525,              0.0002525
                     52,                0.66609,                0.43802,                0.86003,                0.99389,                      1,                0.99256,                0.78149,                0.85729,                0.35154,                0.93583,             0.00024755,             0.00024755,             0.00024755
                     53,                 0.6606,                0.44383,                0.85302,                0.99375,                      1,                0.99303,                0.78149,                0.86467,                0.36036,                0.93502,              0.0002426,              0.0002426,              0.0002426
                     54,                0.65741,                  0.425,                0.85785,                0.99232,                      1,                0.99303,                0.77433,                0.86227,                0.34811,                0.93538,             0.00023765,             0.00023765,             0.00023765
                     55,                0.65379,                0.42793,                0.85223,                0.99229,                      1,                0.99251,                 0.7696,                0.87528,                0.34922,                0.94182,              0.0002327,              0.0002327,              0.0002327
                     56,                0.66061,                0.42837,                0.84975,                0.99376,                      1,                0.99345,                0.77414,                0.86091,                0.35145,                 0.9338,             0.00022775,             0.00022775,             0.00022775
                     57,                0.64049,                0.41634,                0.85428,                0.99414,                      1,                0.99386,                0.78383,                0.84304,                0.34235,                0.92579,              0.0002228,              0.0002228,              0.0002228
                     58,                 0.6674,                0.42046,                0.83978,                0.99409,                      1,                0.99407,                0.76706,                0.90219,                 0.3494,                0.94708,             0.00021785,             0.00021785,             0.00021785
                     59,                0.66731,                0.42011,                0.85157,                0.99444,                      1,                0.99422,                0.77704,                 0.8681,                0.34996,                 0.9413,              0.0002129,              0.0002129,              0.0002129
                     60,                0.67326,                 0.4321,                0.85458,                0.99371,                      1,                0.99396,                0.77862,                0.88582,                0.36299,                 0.9445,             0.00020795,             0.00020795,             0.00020795
                     61,                0.67164,                0.41891,                0.85741,                0.99361,                      1,                0.99417,                0.77009,                0.87063,                0.34529,                0.93876,               0.000203,               0.000203,               0.000203
