                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1063,                 2.3213,                0.71371,                 3.4907,                 1.4849,                0.32053,                0.62952,                 0.4446,                0.25257,                0.33883,                0.66212,                0.45681,                0.32048,                 1.3152,                 1.6887,                0.68227,                 5.2271,                 1.0653,              0.0032407,              0.0032407,              0.0032407
                      2,                 1.3407,                 1.3524,                0.56404,                 1.6878,                 1.0136,                 0.7182,                0.83633,                0.85037,                0.58991,                0.69489,                0.81339,                0.79616,                0.58033,                 1.0277,                 1.1917,                0.53652,                 1.8237,                0.95739,              0.0065728,              0.0065728,              0.0065728
                      3,                 1.3475,                 1.1046,                0.42306,                  1.399,                 1.0047,                0.92293,                0.86093,                0.94763,                0.63422,                0.91813,                0.85462,                0.94159,                0.77838,                 1.1025,                0.91136,                0.30865,                0.93482,                0.98057,              0.0099035,              0.0099035,              0.0099035
                      4,                  1.257,                0.96488,                0.29817,                 1.1301,                0.99043,                0.92362,                0.87095,                 0.9598,                0.64037,                0.90224,                0.85626,                0.93094,                0.78556,                 1.0877,                0.71787,                0.12597,                 0.9499,                0.96576,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.1513,                0.81555,                0.20857,                0.93043,                0.96329,                0.95307,                0.91411,                0.97399,                0.65971,                0.94099,                0.90262,                0.95828,                0.83843,                 1.0839,                0.56714,                0.07793,                0.98228,                 0.9951,              0.0099941,              0.0099941,              0.0099941
                      6,                  1.051,                 0.6442,                0.19501,                0.83919,                0.93601,                0.90316,                 0.8562,                0.91939,                0.66754,                 0.8907,                 0.8402,                0.88866,                0.74358,                0.90589,                0.78157,                0.09324,                0.85237,                0.91737,              0.0099921,              0.0099921,              0.0099921
                      7,                0.98796,                0.49964,                 0.1751,                0.77936,                 0.9253,                0.94442,                0.95729,                0.98267,                0.74646,                0.93763,                0.94775,                0.97437,                0.88847,                0.84875,                0.37743,                0.03842,                0.61341,                0.89931,              0.0099901,              0.0099901,              0.0099901
                      8,                0.96714,                0.43625,                0.16128,                0.71128,                0.91013,                0.96352,                0.94121,                0.98327,                0.73474,                0.96216,                0.93978,                0.98125,                0.92863,                0.89254,                0.30641,                0.03213,                0.68412,                0.90079,              0.0099881,              0.0099881,              0.0099881
                      9,                0.90858,                0.32879,                0.15521,                0.68418,                0.90401,                0.94275,                 0.9342,                0.97071,                0.76914,                0.94078,                0.93222,                0.96802,                0.92651,                0.74151,                0.23601,                0.03554,                0.57663,                0.86393,              0.0099861,              0.0099861,              0.0099861
                     10,                0.93559,                0.32461,                0.13533,                0.66587,                0.90153,                0.97287,                0.93575,                0.97442,                0.78066,                0.96773,                 0.9312,                0.96737,                0.94215,                0.70594,                0.24956,                0.03372,                0.51319,                0.84952,              0.0099842,              0.0099842,              0.0099842
                     11,                0.89375,                 0.3294,                0.13179,                0.61044,                0.88847,                0.93891,                0.95374,                0.98529,                 0.7892,                0.96243,                0.92823,                0.98382,                0.96979,                0.73604,                0.18246,                 0.0301,                 0.5177,                0.85822,              0.0099822,              0.0099822,              0.0099822
                     12,                0.85722,                0.28916,                0.14152,                0.61035,                0.88685,                0.95657,                0.92504,                0.98192,                0.78323,                0.95827,                0.91885,                0.97594,                0.96649,                0.74218,                0.19975,                0.02948,                0.54785,                0.85968,              0.0099802,              0.0099802,              0.0099802
                     13,                0.83613,                0.31553,                0.13101,                0.60166,                0.87781,                 0.9082,                0.77428,                 0.8808,                0.69689,                0.90051,                0.76682,                0.87057,                0.83809,                0.79158,                0.41934,                0.06614,                0.88695,                0.89745,              0.0099782,              0.0099782,              0.0099782
                     14,                0.80213,                0.27843,                0.12288,                0.59329,                0.87307,                0.97321,                0.96468,                0.98964,                0.79472,                0.96875,                0.96072,                0.98301,                 0.9728,                0.72987,                0.19538,                0.02728,                0.49837,                0.85549,              0.0099762,              0.0099762,              0.0099762
                     15,                0.79395,                0.28614,                0.11576,                0.57142,                0.87462,                 0.9703,                0.96204,                0.99031,                0.81019,                0.96979,                0.96102,                0.98839,                0.98072,                0.68608,                0.17176,                0.02253,                 0.4773,                0.84408,              0.0099743,              0.0099743,              0.0099743
                     16,                0.78992,                0.25576,                0.11441,                 0.5533,                0.86871,                0.98753,                0.96784,                0.99259,                0.82617,                 0.9845,                0.96439,                0.98698,                0.97578,                0.63805,                0.17662,                0.02315,                0.48208,                0.84038,              0.0099723,              0.0099723,              0.0099723
                     17,                0.78018,                0.22333,                0.11125,                0.52207,                0.86214,                 0.9734,                0.97196,                0.99171,                0.83076,                0.97012,                0.96974,                0.99093,                0.97016,                0.58928,                0.17376,                0.02068,                0.49394,                0.82887,              0.0099703,              0.0099703,              0.0099703
                     18,                0.76525,                0.21998,                0.11195,                0.51915,                0.86573,                0.97346,                0.97206,                0.98963,                0.80623,                0.97207,                0.96854,                0.98787,                0.98329,                 0.7017,                0.14577,                0.02175,                0.47707,                0.85242,              0.0099683,              0.0099683,              0.0099683
                     19,                0.75212,                0.20896,                0.10462,                0.51159,                0.85844,                0.98599,                0.96986,                0.99267,                0.84546,                0.98357,                0.96783,                0.99149,                 0.9843,                0.58586,                0.15923,                0.01697,                0.41369,                0.82822,              0.0099663,              0.0099663,              0.0099663
                     20,                0.74566,                0.22672,                0.10731,                0.49782,                 0.8577,                0.91648,                0.88399,                0.94478,                0.78706,                0.92012,                0.87668,                 0.9321,                0.92289,                0.61241,                0.26236,                0.03062,                0.56687,                0.83477,              0.0099644,              0.0099644,              0.0099644
                     21,                 0.7417,                0.23098,                0.09087,                 0.5046,                0.85684,                 0.9789,                0.97835,                0.99272,                0.83411,                 0.9794,                0.97318,                0.99025,                0.98584,                0.63302,                0.14475,                0.01795,                0.42815,                0.83649,              0.0099624,              0.0099624,              0.0099624
                     22,                0.71405,                0.21825,                0.09095,                  0.505,                0.85673,                 0.9863,                0.97918,                0.99388,                0.83208,                0.98601,                0.97217,                0.98773,                0.98016,                0.63106,                0.15239,                0.01753,                0.41854,                0.82816,              0.0099604,              0.0099604,              0.0099604
                     23,                 0.7338,                0.20136,                0.08951,                 0.4961,                 0.8505,                0.97627,                0.96886,                0.99092,                0.82999,                0.97258,                0.96218,                0.98474,                0.97664,                  0.652,                0.16016,                0.01503,                0.40751,                0.83682,              0.0099584,              0.0099584,              0.0099584
                     24,                0.70918,                0.21281,                0.08974,                0.46492,                 0.8442,                0.98437,                0.98502,                0.99413,                0.86628,                0.98368,                0.98036,                0.99174,                0.98865,                0.53542,                 0.1082,                0.01547,                0.37091,                0.81811,              0.0099564,              0.0099564,              0.0099564
                     25,                0.68234,                0.18867,                0.08767,                 0.4613,                 0.8475,                0.98674,                0.98295,                0.99388,                0.87104,                0.98533,                0.97872,                0.99064,                0.98733,                0.52123,                0.14362,                 0.0125,                 0.3777,                0.81716,              0.0099545,              0.0099545,              0.0099545
                     26,                0.69894,                0.17523,                0.08287,                0.47477,                0.85312,                0.98354,                0.97736,                 0.9935,                0.84998,                0.98103,                0.97451,                 0.9918,                 0.9872,                0.62837,                0.11979,                0.01435,                0.39504,                0.83261,              0.0099525,              0.0099525,              0.0099525
                     27,                0.66436,                0.17159,                0.07788,                0.46251,                0.84632,                0.98553,                0.98491,                0.99409,                0.88183,                0.98757,                0.97987,                0.99359,                0.99021,                0.48516,                 0.1066,                0.01303,                0.35061,                0.81268,              0.0099505,              0.0099505,              0.0099505
                     28,                0.66979,                  0.179,                0.07608,                0.47156,                0.84548,                0.98889,                0.98837,                0.99432,                 0.8521,                0.98783,                 0.9873,                 0.9936,                0.99099,                0.60245,                0.09409,                0.01171,                  0.362,                0.82573,              0.0099485,              0.0099485,              0.0099485
                     29,                0.67382,                0.17766,                0.07564,                0.45011,                0.84171,                0.98259,                0.98114,                0.99368,                0.83904,                0.98131,                0.97986,                0.99322,                0.98935,                0.64213,                0.09802,                0.01521,                0.37595,                0.83443,              0.0099465,              0.0099465,              0.0099465
                     30,                0.67152,                0.20152,                0.08093,                0.46545,                0.84603,                0.98905,                0.97921,                0.99337,                0.86564,                0.98702,                0.97898,                 0.9926,                0.98885,                0.54408,                0.11043,                0.01264,                0.37228,                0.81758,              0.0099446,              0.0099446,              0.0099446
                     31,                0.65545,                0.19771,                0.07535,                0.45168,                0.84173,                0.97246,                 0.9641,                0.98861,                0.84369,                 0.9718,                0.95823,                0.98667,                0.97968,                  0.624,                0.12975,                0.01284,                0.40534,                0.83029,              0.0099426,              0.0099426,              0.0099426
                     32,                0.66401,                0.17636,                0.07186,                0.45181,                0.84132,                 0.9881,                0.98358,                0.99408,                0.87852,                0.98192,                0.98258,                0.99191,                0.98705,                0.50393,                0.11669,                 0.0106,                  0.348,                0.81519,              0.0099406,              0.0099406,              0.0099406
                     33,                 0.6613,                0.16568,                0.07673,                0.45295,                0.84234,                0.99173,                0.98429,                0.99449,                0.86695,                0.98841,                0.98051,                 0.9916,                0.99036,                0.54115,                0.10568,                0.00936,                0.36196,                0.81644,              0.0099386,              0.0099386,              0.0099386
                     34,                0.64766,                0.18153,                0.07458,                0.45936,                0.84435,                0.98051,                0.98066,                0.99349,                0.87055,                 0.9787,                0.97739,                0.99067,                0.98731,                0.53692,                0.13657,                0.01466,                0.37936,                0.81851,              0.0099366,              0.0099366,              0.0099366
                     35,                0.64925,                0.18315,                0.07659,                0.44934,                0.84284,                0.97586,                0.95118,                0.98289,                0.86382,                0.97456,                0.95099,                 0.9826,                0.97881,                0.55178,                0.12596,                0.01503,                0.40448,                0.82127,              0.0099347,              0.0099347,              0.0099347
                     36,                0.66196,                0.16029,                0.06521,                0.43851,                0.84323,                0.98445,                0.97897,                0.99304,                0.85928,                0.98278,                0.97635,                0.98986,                 0.9861,                 0.5889,                 0.1266,                0.00877,                0.36397,                0.82861,              0.0099327,              0.0099327,              0.0099327
                     37,                0.63186,                0.16625,                 0.0623,                0.41749,                0.83696,                0.98908,                0.99059,                0.99455,                 0.8618,                 0.9855,                0.98454,                0.99179,                0.98872,                0.54527,                0.10761,                0.01119,                0.34251,                 0.8175,              0.0099307,              0.0099307,              0.0099307
                     38,                0.64174,                0.15962,                 0.0646,                0.41708,                0.83636,                0.98973,                0.99266,                0.99462,                0.88128,                0.98963,                0.98955,                0.99263,                0.99192,                0.51246,                0.08995,                0.00997,                0.33149,                 0.8123,              0.0099287,              0.0099287,              0.0099287
                     39,                  0.623,                0.16453,                 0.0666,                0.43078,                0.83151,                0.99177,                0.99121,                0.99474,                0.88648,                 0.9878,                0.98578,                0.99158,                0.98921,                0.50171,                0.10542,                0.00853,                  0.327,                0.80974,              0.0099267,              0.0099267,              0.0099267
                     40,                0.63195,                0.14519,                0.06338,                0.42091,                0.83659,                0.99385,                0.99153,                0.99487,                0.89104,                0.98731,                 0.9865,                0.98952,                0.98865,                0.48311,                0.11892,                0.00908,                0.33836,                0.80922,              0.0099248,              0.0099248,              0.0099248
                     41,                0.60637,                 0.1652,                0.05945,                0.42938,                0.83512,                 0.9922,                0.99115,                0.99479,                 0.8849,                0.99133,                0.98401,                 0.9923,                0.99085,                0.48374,                0.10302,                0.00926,                0.33531,                0.80824,              0.0099228,              0.0099228,              0.0099228
                     42,                0.61273,                 0.1646,                0.06127,                0.43567,                0.83392,                0.98404,                0.98323,                0.99447,                0.88625,                0.98392,                0.97483,                 0.9869,                0.98441,                 0.4956,                0.15386,                0.00925,                0.33662,                0.80735,              0.0099208,              0.0099208,              0.0099208
                     43,                0.62407,                0.17223,                0.05494,                0.41879,                0.83406,                0.98775,                0.99086,                 0.9945,                0.88615,                0.98901,                0.98134,                0.98936,                0.98685,                0.50476,                0.12536,                0.00963,                0.32648,                0.80783,              0.0099188,              0.0099188,              0.0099188
                     44,                0.64808,                0.15161,                  0.054,                0.41936,                0.83466,                0.98923,                0.98816,                0.99452,                0.88629,                0.98813,                0.98211,                0.99139,                0.98917,                0.49599,                0.09099,                0.00764,                0.32189,                0.81006,              0.0099168,              0.0099168,              0.0099168
                     45,                0.62149,                0.16478,                0.05382,                0.41638,                0.83836,                0.99294,                0.99096,                 0.9948,                0.88375,                0.98777,                0.98586,                0.98963,                0.98895,                0.50353,                0.09678,                0.00843,                0.32657,                0.80952,              0.0099149,              0.0099149,              0.0099149
                     46,                0.61536,                0.12848,                0.05542,                0.40904,                0.83303,                0.99109,                0.98667,                0.99472,                0.86212,                0.98774,                0.98333,                0.99159,                0.99095,                0.60752,                0.10597,                0.00659,                 0.3581,                0.82951,              0.0099129,              0.0099129,              0.0099129
                     47,                0.59282,                0.13513,                0.05123,                0.40273,                0.82701,                0.99315,                0.99288,                0.99483,                0.88772,                 0.9911,                0.98732,                0.99227,                0.99129,                0.49952,                0.08678,                0.00588,                0.35093,                0.80503,              0.0099109,              0.0099109,              0.0099109
                     48,                0.59273,                  0.152,                0.05031,                0.41903,                 0.8267,                0.99327,                0.98863,                0.99478,                   0.89,                0.99227,                0.98336,                0.99242,                0.99126,                0.48219,                0.07712,                0.00633,                0.32015,                0.80787,              0.0099089,              0.0099089,              0.0099089
                     49,                0.59793,                0.16383,                0.04986,                0.40343,                0.82798,                0.99207,                0.99056,                0.99464,                0.88686,                 0.9896,                0.98432,                0.99388,                0.99062,                0.52272,                0.08937,                0.00647,                0.31704,                0.81336,              0.0099069,              0.0099069,              0.0099069
                     50,                0.61437,                 0.1296,                0.05149,                0.39967,                0.82577,                0.98461,                0.98641,                0.99431,                0.89096,                 0.9806,                0.97898,                0.98975,                0.98686,                 0.4843,                0.11244,                0.00693,                0.32064,                0.80446,               0.009905,               0.009905,               0.009905
                     51,                0.59582,                0.15428,                0.04666,                0.39545,                 0.8269,                0.99073,                0.99248,                 0.9947,                0.88865,                0.98987,                 0.9835,                0.99216,                0.99046,                0.50557,                0.11742,                0.00493,                0.31802,                0.80605,               0.009903,               0.009903,               0.009903
                     52,                0.58857,                0.15557,                0.04877,                0.40592,                 0.8254,                0.97901,                0.97039,                 0.9926,                0.88654,                0.97813,                 0.9653,                0.98932,                0.98639,                0.50188,                0.11771,                0.00888,                0.33673,                 0.8146,               0.009901,               0.009901,               0.009901
                     53,                0.57746,                 0.1373,                0.04778,                0.40554,                0.82628,                0.98953,                0.96475,                0.98617,                0.85356,                 0.9873,                0.96264,                0.98373,                0.98081,                0.57727,                0.10607,                0.00787,                0.35941,                0.82768,               0.009899,               0.009899,               0.009899
                     54,                0.61663,                0.14216,                0.05084,                0.40703,                0.83078,                0.99298,                0.99153,                0.99478,                0.90461,                0.98966,                0.98812,                 0.9924,                0.99149,                 0.4472,                0.08397,                0.00832,                0.31002,                 0.7995,               0.009897,               0.009897,               0.009897
                     55,                0.56529,                0.14499,                0.04717,                0.39147,                 0.8243,                 0.9915,                0.98177,                0.99424,                 0.9029,                0.98836,                0.97859,                 0.9912,                0.98495,                0.44285,                0.10038,                0.00907,                 0.3142,                0.80055,              0.0098951,              0.0098951,              0.0098951
                     56,                0.58209,                0.13163,                0.05311,                0.40167,                0.82484,                0.99408,                0.99296,                 0.9948,                0.88965,                0.99101,                0.98997,                0.99435,                0.99265,                0.50881,                0.08014,                0.00804,                0.32501,                 0.8082,              0.0098931,              0.0098931,              0.0098931
                     57,                0.57666,                0.13116,                0.04515,                 0.3913,                0.82372,                0.99717,                0.99596,                0.99496,                0.89821,                0.99091,                0.98985,                 0.9922,                0.98984,                0.45553,                0.11837,                0.00518,                0.29324,                0.80139,              0.0098911,              0.0098911,              0.0098911
                     58,                0.58245,                0.12905,                0.04318,                0.37759,                0.82434,                0.99396,                0.99427,                0.99481,                0.89613,                0.99133,                0.99164,                0.99277,                0.99181,                0.47958,                0.07671,                0.00619,                0.30413,                0.80351,              0.0098891,              0.0098891,              0.0098891
                     59,                0.58398,                0.11566,                 0.0461,                0.39382,                0.81921,                0.99516,                0.99387,                0.99493,                0.90142,                0.99278,                 0.9914,                 0.9946,                0.99397,                0.44668,                0.06531,                0.00422,                  0.302,                0.80018,              0.0098871,              0.0098871,              0.0098871
                     60,                0.57403,                0.12194,                0.03697,                0.38886,                 0.8212,                0.99326,                0.99344,                0.99476,                0.89655,                0.98869,                0.98774,                0.99154,                0.98859,                0.46901,                0.10849,                0.00505,                0.31529,                0.80615,              0.0098852,              0.0098852,              0.0098852
                     61,                0.56989,                0.14013,                0.04571,                0.38886,                0.82184,                0.99547,                0.99449,                0.99496,                0.90807,                0.99231,                0.99138,                0.99383,                0.99187,                0.44412,                0.07943,                0.00599,                0.31163,                0.80048,              0.0098832,              0.0098832,              0.0098832
                     62,                0.56422,                0.12925,                 0.0448,                0.37597,                0.82402,                0.99577,                0.99139,                0.99491,                0.88563,                0.99317,                0.98482,                0.99228,                0.99074,                0.52555,                0.09614,                0.00442,                0.31451,                0.81129,              0.0098812,              0.0098812,              0.0098812
                     63,                0.54566,                0.12412,                0.04449,                0.38456,                0.82638,                0.98768,                0.98587,                0.99442,                  0.892,                0.98415,                0.98122,                0.99085,                0.98884,                0.47375,                0.08655,                0.00601,                0.33023,                0.80353,              0.0098792,              0.0098792,              0.0098792
                     64,                0.57062,                0.11756,                0.04424,                0.37723,                0.82646,                0.99274,                0.99321,                0.99489,                0.90667,                0.98983,                0.99083,                0.99444,                0.99323,                0.45542,                0.06815,                0.00482,                0.29548,                0.80205,              0.0098772,              0.0098772,              0.0098772
                     65,                0.56639,                0.10866,                0.04038,                 0.3705,                0.81862,                0.99105,                 0.9845,                0.99454,                0.90148,                0.98749,                0.98099,                0.99117,                0.99033,                0.45503,                0.09254,                0.00521,                0.30925,                0.80339,              0.0098753,              0.0098753,              0.0098753
                     66,                0.53479,                0.14218,                0.04217,                0.38519,                0.81847,                0.99512,                0.99272,                0.99496,                0.90308,                0.99133,                0.99094,                0.99269,                0.99129,                0.45056,                0.09443,                0.00478,                0.29835,                0.80051,              0.0098733,              0.0098733,              0.0098733
                     67,                0.57055,                0.12462,                 0.0429,                0.38522,                0.82468,                0.99328,                0.99441,                0.99488,                0.89894,                 0.9882,                0.98935,                 0.9921,                0.98981,                0.46718,                0.08653,                0.00473,                0.30513,                0.80298,              0.0098713,              0.0098713,              0.0098713
                     68,                0.54198,                0.12012,                0.03838,                0.37231,                 0.8163,                 0.9945,                0.99603,                0.99496,                0.90857,                0.99067,                0.99039,                0.99228,                0.99112,                0.44383,                0.08976,                0.00499,                0.28381,                0.79803,              0.0098693,              0.0098693,              0.0098693
                     69,                0.55738,                0.10079,                0.04477,                0.38004,                0.82007,                0.99129,                 0.9947,                0.99467,                0.89402,                0.98684,                0.99012,                0.99215,                0.99163,                0.48428,                0.08276,                0.00456,                0.31041,                0.80345,              0.0098673,              0.0098673,              0.0098673
                     70,                0.55557,                0.12942,                0.03727,                0.37409,                0.82569,                0.99214,                0.98981,                0.99486,                0.89314,                0.98827,                0.98595,                0.99211,                0.99105,                0.49329,                0.08856,                0.00462,                0.31032,                0.80591,              0.0098654,              0.0098654,              0.0098654
                     71,                0.53538,                0.13337,                0.04019,                0.35587,                0.82166,                0.99497,                0.98951,                0.99481,                0.90554,                0.99135,                0.98569,                 0.9916,                0.99042,                0.44087,                0.08072,                0.01181,                0.29078,                 0.7972,              0.0098634,              0.0098634,              0.0098634
                     72,                0.56076,                0.09772,                0.04032,                0.37159,                0.82401,                0.99799,                0.99463,                0.99498,                0.89837,                0.99676,                0.99206,                0.99465,                0.99415,                0.48577,                0.05995,                0.00387,                0.29105,                0.80494,              0.0098614,              0.0098614,              0.0098614
                     73,                0.55043,                0.11127,                 0.0402,                0.38075,                0.81857,                0.99702,                0.99291,                0.99493,                0.91947,                0.99229,                0.99053,                0.99425,                0.99379,                0.41493,                0.06294,                0.00458,                 0.2867,                0.79518,              0.0098594,              0.0098594,              0.0098594
                     74,                0.54591,                0.11628,                0.04218,                 0.3757,                0.81966,                0.99624,                0.99489,                0.99494,                0.90845,                0.99465,                 0.9933,                0.99472,                0.99465,                0.44599,                0.05709,                 0.0036,                0.29803,                0.79905,              0.0098574,              0.0098574,              0.0098574
                     75,                0.52927,                0.10538,                0.03564,                0.37056,                 0.8166,                 0.9964,                0.99541,                0.99495,                 0.9121,                0.99306,                0.99207,                0.99453,                0.99332,                0.45255,                0.06876,                 0.0037,                0.28773,                0.79711,              0.0098555,              0.0098555,              0.0098555
