                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1429,                 2.4549,                0.71521,                 3.4841,                 1.4988,                0.36114,                0.69198,                0.45814,                0.25759,                0.33761,                0.66054,                0.40914,                 0.2573,                 1.3102,                 2.1133,                0.68465,                 5.8679,                0.96111,              0.0032407,              0.0032407,              0.0032407
                      2,                 1.3564,                 1.5606,                0.56628,                 1.7028,                 1.0208,                0.55419,                0.76794,                0.71532,                0.40664,                 0.5157,                0.71437,                0.62617,                0.41982,                 1.4229,                 1.6173,                0.54243,                 2.2647,                0.97405,              0.0065728,              0.0065728,              0.0065728
                      3,                  1.341,                 1.3329,                0.42987,                 1.4334,                 1.0077,                0.66252,                 0.7265,                0.84481,                0.51317,                0.59296,                0.63473,                0.67062,                0.48604,                 1.2678,                 1.5936,                0.34085,                 1.4705,                0.94123,              0.0099035,              0.0099035,              0.0099035
                      4,                 1.2707,                 1.2628,                0.30209,                 1.1818,                0.99754,                0.81546,                 0.7976,                0.90981,                0.56373,                0.68655,                0.71323,                0.74319,                0.55957,                 1.2096,                 1.6609,                0.17014,                 1.0889,                0.92198,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.1611,                 1.0525,                0.21921,                 0.9861,                0.95855,                0.84081,                0.85499,                0.91463,                0.56132,                 0.7533,                0.79185,                0.76264,                0.56085,                 1.2461,                 1.3473,                0.11668,                 1.1947,                0.93804,              0.0099941,              0.0099941,              0.0099941
                      6,                 1.0645,                0.80651,                0.20391,                0.87542,                0.93376,                0.87822,                0.86041,                0.88655,                0.58993,                0.74355,                0.72192,                0.69501,                0.56845,                 1.1042,                 1.6498,                0.10317,                0.99704,                 0.9056,              0.0099921,              0.0099921,              0.0099921
                      7,                 1.0527,                0.68072,                 0.1889,                0.79724,                0.93262,                0.80246,                  0.899,                0.93253,                0.59628,                0.75386,                0.83954,                0.84508,                 0.7163,                 1.2443,                0.92949,                0.09582,                0.96321,                0.92224,              0.0099901,              0.0099901,              0.0099901
                      8,                0.97734,                0.56637,                0.17027,                0.74422,                0.91819,                0.95286,                0.95845,                0.98571,                0.70111,                0.91327,                0.91599,                0.93262,                0.80707,                  1.019,                0.73655,                0.08203,                0.71186,                0.86934,              0.0099881,              0.0099881,              0.0099881
                      9,                0.96948,                0.44164,                0.16067,                0.69021,                0.90726,                0.94099,                0.88057,                0.96451,                0.67183,                 0.9209,                0.86375,                0.92615,                0.82987,                 1.0009,                0.62134,                0.07775,                 0.7025,                0.86856,              0.0099861,              0.0099861,              0.0099861
                     10,                0.92126,                0.43068,                0.14553,                0.67012,                0.89337,                  0.962,                 0.9457,                0.97447,                0.73467,                 0.9312,                0.91072,                 0.9358,                0.88527,                0.89155,                0.51383,                0.07153,                0.66953,                0.85007,              0.0099842,              0.0099842,              0.0099842
                     11,                0.88445,                0.40255,                  0.142,                 0.6381,                0.89142,                0.85673,                0.79468,                0.86192,                0.62005,                0.83046,                0.76617,                0.82075,                0.74784,                 1.0489,                0.75915,                0.08562,                0.87382,                0.88863,              0.0099822,              0.0099822,              0.0099822
                     12,                0.90206,                0.34979,                0.14503,                0.60304,                0.89118,                0.92846,                0.87174,                0.95156,                0.68564,                0.90543,                0.84993,                0.91502,                0.85952,                 1.0004,                0.39409,                0.05857,                 0.7316,                0.85419,              0.0099802,              0.0099802,              0.0099802
                     13,                0.84481,                0.35581,                0.13647,                0.59996,                0.87372,                0.94584,                0.97414,                0.99228,                0.79319,                0.92229,                0.94471,                0.96292,                0.90183,                0.73779,                0.43494,                0.05661,                0.52902,                0.82712,              0.0099782,              0.0099782,              0.0099782
                     14,                0.81135,                  0.293,                0.13515,                0.60002,                0.87195,                0.98891,                0.97926,                0.99421,                0.74987,                0.96837,                0.95877,                 0.9709,                0.95021,                0.88641,                0.28962,                0.05078,                0.54632,                0.83866,              0.0099762,              0.0099762,              0.0099762
                     15,                0.81009,                0.30879,                0.12395,                0.57006,                0.87365,                0.89521,                0.92559,                0.99151,                0.74377,                0.86862,                0.89842,                0.95669,                0.91157,                0.94919,                0.41104,                0.05569,                0.63824,                0.85752,              0.0099743,              0.0099743,              0.0099743
                     16,                 0.7987,                0.31383,                0.12124,                0.54447,                0.86835,                0.97458,                0.96585,                0.99259,                0.78831,                0.94359,                0.93522,                0.95783,                0.90998,                0.76201,                0.39646,                0.04869,                0.50782,                  0.833,              0.0099723,              0.0099723,              0.0099723
                     17,                0.78475,                0.28347,                0.12379,                0.52885,                0.86757,                0.98264,                0.97678,                0.99345,                0.71698,                0.95924,                0.95318,                0.96763,                0.94513,                0.97538,                0.31214,                0.04388,                0.53772,                0.87048,              0.0099703,              0.0099703,              0.0099703
