                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9832,                 3.7344,                0.68465,                 6.2249,                 2.7848,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.5476,                 1.8716,                 0.7065,                 6.6092,                 2.8829,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 4.5996,                 3.4664,                0.71535,                 6.1189,                 2.7846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.3431,                 1.8806,                0.70606,                 6.4959,                 2.7737,             3.7493e-05,             3.7493e-05,             3.7493e-05
                      3,                 4.7459,                 3.4844,                0.69002,                 5.9858,                 2.5625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5981,                 1.8755,                0.70569,                 6.0253,                 2.4059,             6.2475e-05,             6.2475e-05,             6.2475e-05
                      4,                 3.9826,                 3.0135,                0.71308,                 5.4523,                 2.2976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9107,                 1.8724,                0.70549,                 5.5869,                 2.1349,             8.7448e-05,             8.7448e-05,             8.7448e-05
                      5,                 3.0708,                 2.2474,                0.70766,                 5.2095,                 1.9549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9241,                 1.8873,                0.70537,                 5.0004,                 1.7833,             0.00011241,             0.00011241,             0.00011241
                      6,                 2.2426,                 2.5435,                0.70667,                 4.4721,                 1.5047,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2222,                 1.8694,                0.70524,                  4.566,                 1.5159,             0.00013736,             0.00013736,             0.00013736
                      7,                 2.0344,                 2.4586,                0.66249,                  3.994,                 1.2522,                0.00726,                0.44444,                0.03537,                0.01669,                0.00974,                0.63492,                 0.0394,                0.03378,                 1.8076,                 1.8551,                0.70417,                 3.9152,                 1.2254,             0.00016231,             0.00016231,             0.00016231
                      8,                  1.637,                 1.6389,                0.67655,                 3.4543,                 1.1509,                0.74768,                 0.2202,                0.42233,                0.25599,                0.74768,                 0.2202,                0.41832,                0.36802,                 1.5398,                 1.7822,                0.69978,                  3.061,                 1.0641,             0.00018724,             0.00018724,             0.00018724
                      9,                 1.6614,                 1.8042,                 0.6556,                 2.8845,                 1.0656,                0.68471,                0.53968,                0.56743,                0.35768,                0.69624,                0.53968,                0.55092,                0.43762,                 1.4062,                  1.765,                0.69725,                 2.6598,                 1.0229,             0.00021216,             0.00021216,             0.00021216
                     10,                   1.49,                 1.6159,                0.63365,                 2.6974,                 1.0203,                0.65913,                0.66466,                0.69918,                0.47035,                0.78232,                0.58384,                0.65904,                0.49158,                 1.2786,                 1.7402,                0.69461,                 2.2137,                0.98033,             0.00023708,             0.00023708,             0.00023708
                     11,                 1.4369,                 1.6108,                0.62208,                 2.4622,                 1.0271,                0.66551,                0.74032,                0.72984,                0.50969,                0.67797,                0.67932,                0.67364,                0.50428,                 1.1838,                 1.7175,                0.69179,                 1.8442,                0.95078,             0.00026198,             0.00026198,             0.00026198
                     12,                 1.3417,                 1.5849,                0.62756,                 1.8978,                0.98257,                0.57707,                0.78722,                0.72392,                0.51926,                 0.5452,                 0.7396,                0.66752,                0.50175,                 1.1455,                 1.7281,                0.69083,                 1.8024,                0.95119,             0.00028687,             0.00028687,             0.00028687
                     13,                 1.1831,                 1.3915,                0.61407,                 1.8368,                0.93849,                0.61306,                0.61905,                 0.6859,                0.50357,                0.58776,                 0.5873,                0.64066,                0.47371,                 1.1093,                 1.7302,                 0.6902,                 2.1181,                0.95151,             0.00031176,             0.00031176,             0.00031176
                     14,                 1.1101,                0.98754,                0.60488,                 1.8909,                0.95963,                0.71489,                0.43907,                0.66598,                0.48533,                0.70281,                 0.4232,                0.62224,                0.44887,                 1.0838,                 1.6937,                0.68866,                 2.3083,                0.94576,             0.00033663,             0.00033663,             0.00033663
                     15,                 1.0792,                 1.0856,                0.60629,                 1.6858,                0.93162,                0.68906,                0.51595,                0.66285,                    0.5,                 0.6595,                0.48421,                0.62618,                0.45231,                 1.0505,                 1.6593,                0.68659,                 2.2488,                0.93606,              0.0003615,              0.0003615,              0.0003615
                     16,                 1.0437,                 1.1586,                0.60831,                 1.5493,                0.92279,                0.64993,                0.68587,                0.69951,                0.53852,                0.63297,                0.67054,                0.68013,                0.47881,                 0.9893,                 1.6113,                0.68402,                 1.8844,                0.90931,             0.00038635,             0.00038635,             0.00038635
                     17,                 1.1732,                  1.243,                0.59202,                 1.5286,                0.93005,                0.72953,                0.68254,                0.73154,                0.57152,                0.70848,                0.66667,                0.70987,                0.51419,                0.93261,                 1.5593,                0.68055,                 1.6706,                0.88432,             0.00041119,             0.00041119,             0.00041119
                     18,                0.99223,                 1.0924,                0.58734,                 1.4257,                0.90383,                0.77882,                0.75212,                0.78234,                0.60243,                0.76465,                0.73625,                0.76146,                0.55344,                0.92324,                 1.5201,                0.67661,                 1.7474,                0.88013,             0.00043603,             0.00043603,             0.00043603
                     19,                 0.9851,                 1.0491,                0.56625,                 1.4506,                0.90925,                0.80328,                0.85141,                0.84841,                0.62649,                0.78789,                0.83613,                 0.8173,                0.60418,                0.91568,                 1.4539,                0.66958,                 1.5791,                0.87565,             0.00046085,             0.00046085,             0.00046085
                     20,                 1.0451,                 0.9091,                0.56311,                 1.2765,                0.94629,                  0.894,                0.83664,                0.93061,                0.67178,                0.85093,                0.80601,                0.86692,                0.67594,                0.92384,                 1.3989,                0.66142,                 1.1817,                0.87188,             0.00048567,             0.00048567,             0.00048567
                     21,                 1.0915,                 1.1637,                0.56305,                 1.1364,                0.91234,                0.87195,                0.97092,                0.97262,                0.71862,                 0.8541,                0.88889,                0.91916,                0.71235,                0.91291,                 1.3505,                0.65145,                 1.0402,                 0.8626,             0.00051047,             0.00051047,             0.00051047
