                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.71243,                0.21345,                0.10725,                0.53627,                0.85816,                0.98119,                0.97751,                0.99353,                0.87668,                0.97933,                0.96859,                0.98957,                0.98315,                0.52367,                0.15754,                0.01589,                0.48401,                0.82282,              0.0099584,              0.0099584,              0.0099584
                     24,                0.73178,                0.21798,                0.09797,                0.50393,                0.86445,                0.99122,                0.96988,                0.99264,                0.83763,                0.98708,                0.96637,                0.98787,                0.98057,                 0.6403,                0.14953,                0.01515,                0.51862,                0.84577,              0.0099564,              0.0099564,              0.0099564
                     25,                0.68086,                0.22851,                0.09542,                0.49429,                0.84933,                 0.9888,                0.98483,                0.99422,                0.87753,                0.98588,                0.97732,                0.98691,                0.98334,                0.51623,                0.17719,                0.01353,                0.42738,                0.82091,              0.0099545,              0.0099545,              0.0099545
                     26,                0.69804,                0.23168,                0.08996,                0.49458,                0.85501,                0.97718,                0.96511,                0.99117,                0.82893,                0.97784,                0.95682,                0.98073,                0.96952,                0.68045,                0.21452,                0.01768,                0.43524,                 0.8519,              0.0099525,              0.0099525,              0.0099525
                     27,                0.68012,                0.22414,                0.09174,                  0.469,                0.85492,                0.98827,                0.98225,                 0.9939,                0.82678,                 0.9864,                0.97782,                0.99128,                0.98516,                0.67597,                0.16253,                0.01491,                0.42363,                0.85224,              0.0099505,              0.0099505,              0.0099505
                     28,                0.67393,                0.20802,                0.09252,                0.48318,                0.84967,                0.98482,                0.97894,                 0.9938,                0.85889,                0.98314,                0.97566,                0.98648,                0.98105,                0.58787,                0.18491,                0.01504,                0.41042,                0.82806,              0.0099485,              0.0099485,              0.0099485
                     29,                0.66775,                0.19698,                0.08745,                0.48266,                0.84743,                0.97441,                0.95588,                0.98878,                0.87974,                0.97524,                0.94762,                0.97772,                0.95972,                0.49368,                0.21937,                0.01994,                0.40987,                0.82005,              0.0099465,              0.0099465,              0.0099465
                     30,                0.64819,                0.23082,                0.09074,                0.47813,                0.85328,                0.94335,                0.95213,                0.98141,                0.85247,                 0.8646,                0.87847,                0.85541,                 0.8145,                0.56085,                0.65553,                0.01629,                0.41755,                0.84007,              0.0099446,              0.0099446,              0.0099446
                     31,                0.64074,                0.19158,                0.08447,                0.44383,                0.84806,                 0.9522,                0.95354,                 0.9828,                 0.8322,                0.88806,                0.89766,                0.89359,                0.84496,                0.63814,                0.61574,                0.01434,                0.44021,                0.84763,              0.0099426,              0.0099426,              0.0099426
                     32,                0.67915,                 0.1915,                0.08368,                0.44798,                0.84849,                0.98945,                0.98342,                0.99433,                   0.87,                0.98925,                0.97809,                0.99146,                0.98856,                0.55803,                0.12681,                0.01179,                0.37523,                0.82503,              0.0099406,              0.0099406,              0.0099406
