                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1429,                 2.4549,                0.71521,                 3.4841,                 1.4988,                 0.3394,                0.72943,                0.48278,                0.27255,                0.34086,                0.73354,                0.47673,                0.31812,                 1.2965,                 1.7688,                 0.6879,                 5.5103,                 1.0646,              0.0032407,              0.0032407,              0.0032407
                      2,                 1.3564,                 1.5606,                0.56628,                 1.7028,                 1.0208,                0.63505,                0.83032,                0.77862,                0.52528,                0.59314,                0.80203,                0.70017,                0.49355,                 0.9808,                  1.363,                0.54069,                 1.9364,                0.94213,              0.0065728,              0.0065728,              0.0065728
                      3,                  1.341,                 1.3329,                0.42987,                 1.4334,                 1.0077,                0.78397,                0.81822,                0.93116,                0.63447,                0.73811,                 0.7774,                0.84297,                0.65397,                 1.0569,                 1.0631,                0.33691,                 1.1191,                0.97451,              0.0099035,              0.0099035,              0.0099035
                      4,                 1.2707,                 1.2628,                0.30209,                 1.1818,                0.99754,                 0.9249,                0.89148,                0.96809,                0.67315,                0.88859,                  0.832,                0.90262,                0.74497,                0.98957,                 0.9274,                0.14489,                0.81624,                0.94314,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.1611,                 1.0525,                0.21921,                 0.9861,                0.95855,                0.92581,                0.90311,                0.96656,                0.66436,                0.88339,                0.87235,                0.90208,                0.68542,                 0.9742,                 0.8577,                0.08405,                 1.0106,                0.94102,              0.0099941,              0.0099941,              0.0099941
                      6,                 1.0645,                0.80651,                0.20391,                0.87542,                0.93376,                0.94132,                0.90201,                0.94899,                0.69574,                0.88054,                 0.8562,                0.85613,                0.71396,                0.86805,                0.79708,                  0.077,                0.73198,                0.91207,              0.0099921,              0.0099921,              0.0099921
                      7,                 1.0527,                0.68072,                 0.1889,                0.79724,                0.93262,                0.91482,                 0.9173,                 0.9742,                0.66795,                0.90514,                0.88455,                0.93973,                0.83942,                0.97167,                0.48726,                0.05474,                0.77515,                 0.9224,              0.0099901,              0.0099901,              0.0099901
                      8,                0.97734,                0.56637,                0.17027,                0.74422,                0.91819,                0.95797,                0.96349,                0.98683,                0.74858,                0.94795,                0.94368,                0.96637,                0.88316,                0.85727,                0.35859,                0.03915,                 0.6361,                0.88594,              0.0099881,              0.0099881,              0.0099881
                      9,                0.96948,                0.44164,                0.16067,                0.69021,                0.90726,                0.96241,                0.93432,                0.98187,                0.75968,                0.95743,                0.92669,                 0.9699,                0.91228,                   0.77,                0.35602,                0.03443,                0.56248,                0.87532,              0.0099861,              0.0099861,              0.0099861
                     10,                0.92126,                0.43068,                0.14553,                0.67012,                0.89337,                0.96726,                0.96201,                0.98928,                0.78655,                0.95608,                0.95063,                0.97496,                0.94304,                0.75898,                0.27058,                0.03045,                0.58945,                0.86376,              0.0099842,              0.0099842,              0.0099842
                     11,                0.88445,                0.40255,                  0.142,                 0.6381,                0.89142,                0.91386,                0.79379,                0.88972,                0.69511,                0.90247,                0.77916,                0.87117,                0.81663,                0.81531,                0.63636,                  0.075,                0.76042,                0.90179,              0.0099822,              0.0099822,              0.0099822
                     12,                0.90206,                0.34979,                0.14503,                0.60304,                0.89118,                0.97084,                0.93494,                0.98498,                0.75667,                0.96305,                0.92754,                0.97104,                 0.9429,                0.81689,                0.23364,                0.02734,                0.55546,                0.87309,              0.0099802,              0.0099802,              0.0099802
                     13,                0.84481,                0.35581,                0.13647,                0.59996,                0.87372,                 0.9752,                0.97408,                0.99317,                0.83597,                0.96563,                0.96458,                  0.982,                 0.9488,                0.59336,                0.24759,                 0.0264,                0.44834,                0.83351,              0.0099782,              0.0099782,              0.0099782
                     14,                0.81135,                  0.293,                0.13515,                0.60002,                0.87195,                 0.9881,                0.97961,                0.99322,                0.79323,                0.98007,                0.97055,                0.98207,                0.96721,                0.76035,                0.18528,                0.02669,                0.50041,                 0.8627,              0.0099762,              0.0099762,              0.0099762
                     15,                0.81009,                0.30879,                0.12395,                0.57006,                0.87365,                0.96029,                0.94667,                0.99245,                0.82369,                0.95104,                0.93943,                0.98055,                0.95959,                0.62612,                 0.1834,                0.02657,                0.45422,                0.83685,              0.0099743,              0.0099743,              0.0099743
                     16,                 0.7987,                0.31383,                0.12124,                0.54447,                0.86835,                0.98164,                0.96905,                 0.9925,                0.81161,                0.97303,                0.95791,                0.98125,                0.96006,                0.70335,                0.20083,                0.02568,                0.46158,                0.85464,              0.0099723,              0.0099723,              0.0099723
                     17,                0.78475,                0.28347,                0.12379,                0.52885,                0.86757,                0.98205,                0.97921,                0.99367,                0.81186,                0.97308,                0.96903,                0.98356,                0.97436,                0.64518,                0.15229,                0.02423,                0.43067,                0.84354,              0.0099703,              0.0099703,              0.0099703
                     18,                0.81511,                0.27051,                0.11458,                0.52228,                0.86882,                0.98965,                0.98084,                0.99387,                0.83776,                0.98203,                0.97323,                0.98627,                0.97819,                0.61953,                0.14323,                0.01958,                0.41658,                0.82941,              0.0099683,              0.0099683,              0.0099683
                     19,                0.74837,                0.26775,                0.10737,                 0.5301,                 0.8582,                0.98536,                 0.9829,                0.99338,                0.83104,                0.97547,                0.96606,                0.97425,                0.96171,                0.62184,                 0.2189,                0.01977,                0.45201,                0.84131,              0.0099663,              0.0099663,              0.0099663
                     20,                0.75602,                0.29067,                 0.1121,                0.51456,                0.85944,                0.97894,                0.97229,                0.99127,                0.84013,                0.92679,                0.91889,                0.90702,                0.87996,                0.59906,                0.54571,                0.02185,                0.41658,                0.83386,              0.0099644,              0.0099644,              0.0099644
                     21,                0.74816,                0.28876,                0.09608,                0.50726,                0.85562,                 0.9737,                0.95819,                0.99221,                0.84821,                0.96806,                0.94919,                0.98058,                0.97086,                0.57756,                 0.2037,                0.01787,                0.41082,                0.82423,              0.0099624,              0.0099624,              0.0099624
                     22,                0.71622,                0.26791,                0.09265,                0.51022,                 0.8551,                0.96846,                0.96254,                0.99127,                0.80226,                 0.9635,                0.93645,                0.97384,                0.96309,                0.69647,                0.21144,                0.01762,                0.46311,                0.84151,              0.0099604,              0.0099604,              0.0099604
                     23,                0.77098,                0.24308,                0.09135,                0.49548,                0.85285,                0.98842,                0.99061,                0.99442,                0.84802,                0.97837,                0.97947,                0.98462,                 0.9772,                0.56685,                0.16545,                 0.0137,                0.38489,                0.82195,              0.0099584,              0.0099584,              0.0099584
                     24,                0.73328,                0.25238,                0.09112,                0.49258,                0.84731,                 0.9894,                0.98577,                0.99443,                0.85825,                0.98052,                0.97673,                0.98554,                0.97663,                0.55547,                0.16155,                0.01388,                0.37119,                0.82038,              0.0099564,              0.0099564,              0.0099564
                     25,                0.68677,                0.25079,                0.09552,                0.47746,                0.84846,                0.92748,                0.94112,                0.97688,                0.82239,                 0.8277,                0.83429,                0.81706,                0.79878,                0.60961,                 1.2026,                0.01798,                 0.5009,                 0.8446,              0.0099545,              0.0099545,              0.0099545
                     26,                0.71912,                0.26674,                0.08786,                0.49177,                0.85797,                0.97989,                0.97482,                0.99301,                0.85968,                 0.9586,                0.95198,                0.96429,                0.94684,                0.54574,                0.26476,                 0.0201,                0.39272,                0.82292,              0.0099525,              0.0099525,              0.0099525
                     27,                0.70994,                0.25657,                0.08392,                0.48314,                0.85231,                0.98541,                0.98439,                0.99367,                0.84301,                0.97562,                0.97424,                 0.9838,                0.97762,                0.62937,                0.14561,                0.01157,                0.39145,                0.83606,              0.0099505,              0.0099505,              0.0099505
                     28,                0.74859,                0.22858,                0.07993,                0.47567,                0.85241,                0.96796,                0.95479,                0.99205,                0.84006,                0.93541,                0.89895,                0.92152,                0.88573,                0.62143,                0.50328,                0.01602,                0.39364,                0.83118,              0.0099485,              0.0099485,              0.0099485
                     29,                0.69396,                0.24604,                0.07772,                0.47913,                0.84799,                0.98437,                0.96226,                0.99205,                0.85005,                0.95369,                0.93572,                0.95305,                0.93269,                0.57154,                0.35821,                0.01747,                 0.3897,                0.83004,              0.0099465,              0.0099465,              0.0099465
                     30,                0.70395,                0.24298,                0.08415,                0.47546,                0.84752,                  0.967,                0.95464,                0.99174,                0.84577,                0.95597,                0.94054,                0.97893,                0.96629,                0.58528,                0.16076,                0.01447,                 0.3896,                0.82385,              0.0099446,              0.0099446,              0.0099446
                     31,                0.68214,                0.25298,                0.07746,                0.47582,                0.84458,                0.98536,                0.98271,                0.99376,                0.83617,                0.97924,                0.97603,                0.98846,                0.98467,                0.62369,                 0.1245,                0.01166,                0.41161,                0.82973,              0.0099426,              0.0099426,              0.0099426
                     32,                0.68515,                0.23598,                0.07768,                0.47082,                0.84535,                0.98993,                0.98824,                0.99443,                 0.8747,                0.97941,                0.97613,                0.98452,                0.97842,                0.49482,                0.15746,                0.01022,                0.35349,                0.81303,              0.0099406,              0.0099406,              0.0099406
                     33,                 0.6581,                0.24386,                0.08406,                0.45364,                0.84266,                0.97732,                0.98392,                0.99376,                 0.8663,                0.96823,                0.96032,                0.97022,                0.94871,                0.55709,                0.24464,                0.01136,                0.39865,                0.82345,              0.0099386,              0.0099386,              0.0099386
                     34,                0.69083,                0.23929,                 0.0816,                0.46345,                0.84672,                0.98973,                0.98363,                0.99412,                0.85861,                0.98036,                0.97248,                0.98475,                 0.9767,                0.56942,                0.16604,                0.01243,                0.36142,                0.82553,              0.0099366,              0.0099366,              0.0099366
                     35,                0.65463,                 0.2364,                0.07854,                0.47615,                0.84488,                0.97272,                0.96488,                0.99221,                0.83407,                0.96365,                0.95407,                0.98212,                0.97276,                0.64248,                0.16192,                0.01016,                0.41129,                0.84135,              0.0099347,              0.0099347,              0.0099347
                     36,                0.68543,                0.20808,                0.07064,                0.45944,                0.84371,                 0.9935,                0.99114,                0.99475,                0.86104,                0.98765,                0.98239,                0.98589,                0.97893,                0.56528,                0.13401,                0.00979,                0.36054,                0.82168,              0.0099327,              0.0099327,              0.0099327
                     37,                0.65384,                0.22534,                0.06839,                0.44242,                0.83719,                0.98709,                0.98193,                0.99417,                0.87357,                0.97983,                0.97371,                0.98686,                0.98177,                0.53746,                0.13501,                0.01314,                0.36389,                0.81993,              0.0099307,              0.0099307,              0.0099307
                     38,                0.66655,                0.21846,                0.07535,                0.43384,                0.84098,                0.99299,                0.98947,                0.99466,                0.86031,                0.98942,                0.97914,                0.98844,                0.98401,                0.57887,                0.13297,                0.00885,                0.34406,                0.82139,              0.0099287,              0.0099287,              0.0099287
                     39,                0.64905,                0.18774,                0.07423,                0.44118,                0.83559,                0.98943,                0.99225,                0.99457,                0.87457,                0.97593,                0.97792,                0.98189,                0.97758,                0.50042,                0.13959,                0.00796,                0.34151,                0.81167,              0.0099267,              0.0099267,              0.0099267
                     40,                0.62821,                0.20964,                 0.0716,                0.45069,                0.83652,                0.98844,                0.98817,                0.99461,                0.87117,                0.97586,                0.97547,                0.98171,                0.97841,                0.54161,                0.14762,                0.01104,                0.37498,                0.81983,              0.0099248,              0.0099248,              0.0099248
                     41,                0.66282,                0.18832,                0.06879,                0.43761,                0.84308,                0.99245,                0.98819,                0.99475,                0.85717,                0.98226,                0.97189,                0.98101,                0.97612,                0.55107,                0.17797,                0.00683,                0.35221,                0.81574,              0.0099228,              0.0099228,              0.0099228
                     42,                0.65642,                0.21266,                0.06862,                0.43216,                0.83771,                0.99297,                0.98847,                0.99449,                0.87531,                 0.9856,                0.98121,                0.98905,                0.98659,                0.52769,                0.10458,                0.00812,                0.34513,                0.81399,              0.0099208,              0.0099208,              0.0099208
                     43,                0.63188,                0.21827,                 0.0627,                0.42648,                0.83353,                0.99525,                0.99257,                0.99487,                0.88058,                0.98789,                0.98533,                0.98865,                0.98499,                0.48905,                0.09967,                0.00993,                0.32825,                0.80645,              0.0099188,              0.0099188,              0.0099188
                     44,                0.64309,                0.18858,                0.06284,                0.43074,                0.83202,                0.99174,                0.98959,                0.99476,                0.89167,                0.98178,                0.98021,                0.98621,                0.98409,                0.46266,                 0.1163,                0.00742,                 0.3343,                0.80608,              0.0099168,              0.0099168,              0.0099168
                     45,                 0.6191,                0.19598,                0.05967,                0.43312,                0.84046,                0.99142,                0.98889,                0.99459,                0.87533,                0.98299,                0.97676,                0.98388,                0.98258,                0.51811,                0.12766,                0.00724,                0.33395,                0.81825,              0.0099149,              0.0099149,              0.0099149
                     46,                0.62789,                0.17273,                0.06214,                0.41817,                0.83565,                0.98999,                0.99055,                0.99478,                0.88183,                0.98497,                0.98435,                0.98887,                0.98498,                0.47597,                0.09799,                0.00625,                0.34539,                   0.81,              0.0099129,              0.0099129,              0.0099129
                     47,                0.60019,                0.17396,                0.05594,                 0.4182,                0.82853,                0.97354,                0.98241,                0.99465,                0.87089,                0.95771,                 0.9657,                0.97697,                0.96416,                0.54954,                  0.232,                0.00788,                0.34777,                0.81823,              0.0099109,              0.0099109,              0.0099109
                     48,                0.61673,                0.20259,                0.05673,                0.40285,                0.82776,                0.99324,                0.99337,                0.99491,                0.89692,                0.98476,                0.98434,                0.98779,                0.98463,                0.44067,                0.11571,                0.00578,                0.30484,                0.80402,              0.0099089,              0.0099089,              0.0099089
                     49,                0.62807,                0.18091,                0.05555,                0.40379,                0.82946,                0.99388,                0.99387,                0.99478,                0.86908,                0.98393,                0.98033,                0.98496,                0.98228,                 0.5714,                0.15318,                0.00587,                0.34488,                0.82175,              0.0099069,              0.0099069,              0.0099069
                     50,                0.63373,                0.16155,                0.05847,                0.40989,                0.82892,                0.99248,                0.99382,                0.99475,                0.89009,                0.98256,                0.98249,                 0.9872,                0.98447,                0.48636,                0.11018,                 0.0067,                0.31842,                0.80796,               0.009905,               0.009905,               0.009905
