                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0298,                 3.9158,                0.73969,                 8.6598,                 2.0152,                0.01175,                0.16346,                0.00784,                0.00253,                0.37005,                0.25962,                0.14665,                0.09448,                 2.8072,                 2.1136,                0.69299,                 4.3602,                 1.3683,                 0.0032,                 0.0032,                 0.0032
                      2,                 2.6677,                 1.9376,                0.64719,                 2.8562,                 1.1014,                0.32089,                0.59321,                0.34277,                0.12269,                0.38161,                0.68869,                0.42747,                 0.2598,                 2.1062,                 1.6897,                  0.641,                 3.0349,                 1.2521,              0.0064987,              0.0064987,              0.0064987
                      3,                 2.6413,                 1.5442,                0.57074,                 2.3871,                 1.0923,                0.33968,                0.52244,                0.36262,                0.13079,                0.27685,                0.43269,                0.30692,                0.18556,                 2.0022,                 1.7057,                0.52422,                 3.2859,                 1.2879,              0.0097961,              0.0097961,              0.0097961
                      4,                  2.424,                 1.4141,                0.45471,                  2.581,                 1.0477,                0.36782,                0.72023,                0.59738,                0.32826,                0.30637,                0.58789,                0.41516,                0.29292,                 1.4841,                 1.7412,                0.37196,                 4.0445,                 1.0913,              0.0099941,              0.0099941,              0.0099941
                      5,                 2.3033,                 1.3567,                0.38311,                 2.0072,                0.99336,                0.50521,                0.53857,                0.52698,                0.30941,                0.46943,                0.49989,                0.46957,                0.29679,                 1.5946,                 1.5963,                0.32311,                 1.8027,                 1.1091,              0.0099941,              0.0099941,              0.0099941
                      6,                 2.1551,                  1.177,                0.31732,                 1.6561,                0.96427,                 0.5092,                0.68181,                0.66214,                0.42214,                0.36374,                0.59569,                0.50759,                0.36394,                 1.3182,                 1.5505,                0.24781,                 1.4729,                 1.0192,              0.0099921,              0.0099921,              0.0099921
                      7,                  1.963,                 1.0859,                 0.2734,                 1.3294,                0.94301,                0.61663,                 0.6859,                0.65683,                0.40316,                0.47591,                0.54474,                0.49292,                0.35958,                 1.4028,                 1.5915,                0.20449,                 1.3857,                 1.0409,              0.0099901,              0.0099901,              0.0099901
                      8,                 1.9484,                0.99074,                0.26311,                 1.2509,                0.91704,                0.55567,                0.72069,                0.73065,                0.44177,                0.39668,                0.61054,                0.56974,                0.42999,                 1.3117,                 1.4128,                 0.1742,                 1.3056,                 1.0007,              0.0099881,              0.0099881,              0.0099881
                      9,                 1.9003,                0.82006,                0.23481,                 1.1863,                 0.9103,                0.65174,                0.67063,                0.76172,                0.50239,                0.56756,                0.62032,                0.63014,                0.46123,                 1.2276,                 1.3964,                0.13337,                 1.2549,                0.97352,              0.0099861,              0.0099861,              0.0099861
                     10,                 1.8337,                0.84292,                0.22579,                 1.1231,                0.89682,                0.50919,                0.78842,                0.72235,                0.45402,                0.45135,                0.73264,                0.59147,                0.46171,                 1.3318,                 1.4356,                0.12432,                 1.2431,                0.98431,              0.0099842,              0.0099842,              0.0099842
                     11,                 1.6959,                0.75294,                0.20129,                 1.0443,                0.87988,                0.63251,                0.78851,                0.83078,                0.54433,                0.59333,                0.72025,                0.76103,                0.55076,                 1.1318,                 1.2701,                0.11016,                 1.2088,                0.95097,              0.0099822,              0.0099822,              0.0099822
