                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6955,                  4.444,                 0.9576,                      0,                      0,                      0,                      0,                 1.0932,                 4.2804,                0.87313,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                  1.399,                 4.3771,                 1.0124,                      0,                      0,                      0,                      0,                0.80375,                 4.2448,                0.83087,             8.7413e-05,             8.7413e-05,             8.7413e-05
                      3,                 1.0204,                 4.1076,                0.84811,                0.00063,                0.01562,                0.00043,                0.00015,                0.97112,                 4.0977,                0.81415,             0.00013723,             0.00013723,             0.00013723
                      4,                0.92773,                 3.4615,                0.83658,                0.00828,                0.26013,                0.07261,                0.01946,                0.89304,                 4.0251,                0.78965,             0.00018694,             0.00018694,             0.00018694
