                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.70974,                0.54046,                0.89735,                0.99828,                      1,                  0.995,                 0.8058,                0.82964,                0.37981,                0.93054,              0.0003218,              0.0003218,              0.0003218
                     38,                0.75978,                0.58004,                0.92094,                0.99861,                      1,                  0.995,                0.80959,                0.83298,                0.36944,                0.93608,             0.00031685,             0.00031685,             0.00031685
                     39,                0.73055,                0.54088,                0.89357,                0.99887,                      1,                  0.995,                0.79893,                0.84086,                0.38018,                0.93927,              0.0003119,              0.0003119,              0.0003119
                     40,                0.72018,                 0.5232,                0.89182,                0.99906,                      1,                  0.995,                 0.7878,                0.86922,                0.37653,                0.95069,             0.00030695,             0.00030695,             0.00030695
                     41,                0.69704,                0.53339,                0.86556,                0.99928,                      1,                  0.995,                0.79455,                 0.8603,                0.37655,                0.93875,               0.000302,               0.000302,               0.000302
                     42,                0.69998,                0.50528,                   0.88,                0.99907,                      1,                  0.995,                 0.7946,                0.86113,                0.37151,                0.94601,             0.00029705,             0.00029705,             0.00029705
                     43,                0.74646,                0.50408,                0.89397,                0.99898,                      1,                  0.995,                0.79942,                0.82898,                0.38431,                0.93592,              0.0002921,              0.0002921,              0.0002921
                     44,                0.69793,                0.49741,                0.89548,                0.99905,                      1,                  0.995,                0.79811,                0.83736,                0.36537,                0.93543,             0.00028715,             0.00028715,             0.00028715
                     45,                0.70546,                0.49772,                0.89314,                0.99912,                      1,                  0.995,                0.79618,                0.84528,                0.36306,                0.94425,              0.0002822,              0.0002822,              0.0002822
                     46,                0.69416,                0.51848,                0.86904,                0.99889,                      1,                  0.995,                0.80073,                0.85331,                0.37208,                0.94249,             0.00027725,             0.00027725,             0.00027725
                     47,                0.70712,                0.47251,                0.88862,                0.99905,                      1,                  0.995,                0.79159,                0.85188,                0.37029,                0.93733,              0.0002723,              0.0002723,              0.0002723
                     48,                0.68985,                0.47413,                0.88767,                 0.9976,                      1,                  0.995,                0.80801,                0.85655,                0.37413,                0.93365,             0.00026735,             0.00026735,             0.00026735
                     49,                0.69125,                0.51954,                0.87535,                0.99535,                      1,                  0.995,                0.78935,                0.85826,                0.36221,                0.94947,              0.0002624,              0.0002624,              0.0002624
                     50,                0.69451,                 0.4779,                0.88183,                0.99002,                      1,                  0.995,                0.80652,                0.85229,                0.36618,                0.94018,             0.00025745,             0.00025745,             0.00025745
                     51,                0.69653,                0.47014,                 0.8869,                0.99817,                      1,                  0.995,                0.78719,                 0.8616,                0.37568,                0.95095,              0.0002525,              0.0002525,              0.0002525
                     52,                0.68428,                 0.4638,                0.88636,                      1,                0.99726,                  0.995,                0.79018,                0.87203,                0.37517,                 0.9464,             0.00024755,             0.00024755,             0.00024755
                     53,                0.69283,                0.45752,                0.88384,                0.99817,                      1,                  0.995,                0.78615,                0.87266,                0.36897,                0.94926,              0.0002426,              0.0002426,              0.0002426
                     54,                0.69009,                0.46467,                0.88121,                0.98974,                      1,                  0.995,                0.79638,                0.85453,                0.36934,                0.94782,             0.00023765,             0.00023765,             0.00023765
                     55,                  0.655,                0.44797,                0.87766,                0.99865,                      1,                  0.995,                0.80365,                0.83913,                0.35709,                0.93637,              0.0002327,              0.0002327,              0.0002327
                     56,                0.68145,                0.45953,                0.88436,                0.99942,                      1,                  0.995,                0.79647,                0.86476,                0.36913,                0.94276,             0.00022775,             0.00022775,             0.00022775
                     57,                0.67576,                0.44992,                0.87484,                0.99842,                      1,                  0.995,                0.79611,                0.85854,                0.35991,                0.93953,              0.0002228,              0.0002228,              0.0002228
                     58,                0.65839,                0.43792,                0.87298,                0.99692,                      1,                  0.995,                0.80523,                0.85272,                0.36443,                0.94279,             0.00021785,             0.00021785,             0.00021785
                     59,                0.67444,                0.43284,                0.87154,                0.98997,                      1,                  0.995,                0.79611,                0.84746,                0.36141,                0.93762,              0.0002129,              0.0002129,              0.0002129
                     60,                0.66022,                0.43767,                0.88582,                0.98988,                      1,                0.99262,                 0.7982,                0.88057,                0.37054,                0.94499,             0.00020795,             0.00020795,             0.00020795
                     61,                0.67378,                0.43724,                0.87994,                0.99026,                      1,                  0.995,                0.79234,                0.86421,                0.35213,                0.94439,               0.000203,               0.000203,               0.000203
                     62,                0.64929,                0.43612,                0.87823,                0.99827,                      1,                  0.995,                0.79909,                0.85329,                0.35304,                0.94061,             0.00019805,             0.00019805,             0.00019805
                     63,                0.67558,                0.42504,                0.87239,                0.99812,                      1,                  0.995,                0.80012,                0.86101,                0.36611,                0.94349,              0.0001931,              0.0001931,              0.0001931
                     64,                0.67083,                0.44116,                0.86371,                 0.9985,                      1,                  0.995,                0.79277,                0.85985,                0.36092,                0.94677,             0.00018815,             0.00018815,             0.00018815
                     65,                0.68884,                0.43028,                0.88284,                0.99873,                      1,                  0.995,                0.78814,                0.87593,                0.36019,                0.96124,              0.0001832,              0.0001832,              0.0001832
                     66,                0.69073,                0.43714,                0.88493,                      1,                0.99654,                  0.995,                0.79674,                0.86791,                0.35663,                 0.9543,             0.00017825,             0.00017825,             0.00017825
                     67,                0.64796,                0.41278,                0.87533,                0.99748,                      1,                  0.995,                0.79927,                0.86833,                0.35352,                0.95663,              0.0001733,              0.0001733,              0.0001733
                     68,                 0.6599,                0.40936,                0.87608,                      1,                0.99995,                  0.995,                0.80269,                0.84862,                0.34608,                0.95189,             0.00016835,             0.00016835,             0.00016835
                     69,                0.66542,                0.41593,                0.87871,                0.98973,                      1,                  0.995,                0.80555,                 0.8598,                0.34971,                0.95342,              0.0001634,              0.0001634,              0.0001634
                     70,                0.62114,                0.40084,                0.86174,                0.99781,                      1,                  0.995,                0.79628,                0.85447,                0.35879,                0.94556,             0.00015845,             0.00015845,             0.00015845
