                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.149,                  2.434,                0.73198,                 3.7006,                  1.547,                0.29784,                0.40385,                0.29027,                0.19764,                0.29784,                0.40385,                0.29472,                0.16213,                 1.3838,                 2.0981,                0.70288,                 3.6929,                 1.0512,                  0.003,                  0.003,                  0.003
                      2,                 1.2635,                 1.4366,                0.59175,                 1.6841,                 1.0157,                0.47131,                0.38462,                 0.3447,                0.20567,                0.50349,                0.39423,                0.35528,                0.20875,                 1.4942,                 1.8053,                0.63192,                 2.9395,                 1.0428,              0.0060988,              0.0060988,              0.0060988
                      3,                  1.247,                 1.1558,                0.46706,                 1.3932,                0.99933,                0.42535,                0.59818,                0.45884,                0.28872,                0.33154,                 0.4286,                0.32613,                0.23763,                  1.389,                 1.8636,                0.42464,                 2.6923,                 1.0167,              0.0091964,              0.0091964,              0.0091964
                      4,                 1.2829,                0.94837,                0.31427,                 1.1948,                 1.0149,                 0.4435,                0.59295,                0.52792,                0.29853,                0.33348,                 0.5124,                0.37986,                0.27235,                 1.4399,                 1.8111,                0.26381,                 2.2653,                 1.0381,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.0786,                0.84965,                0.24844,                0.99103,                0.96442,                0.72917,                0.67974,                0.76041,                0.50581,                0.52137,                0.44872,                0.47454,                0.34498,                 1.1504,                 2.2664,                0.16318,                 1.2561,                0.94828,              0.0099941,              0.0099941,              0.0099941
                      6,                  1.087,                0.66182,                0.20671,                0.87742,                0.95919,                 0.8276,                0.65373,                0.81399,                0.56392,                0.53167,                0.41026,                0.49933,                0.41113,                 1.1618,                 2.2863,                0.10925,                 1.0889,                0.93994,              0.0099921,              0.0099921,              0.0099921
                      7,                 1.0361,                0.53791,                0.19831,                0.79509,                0.94012,                0.82327,                0.75452,                0.85506,                0.56623,                0.62217,                0.53314,                0.60254,                0.48202,                 1.1894,                 1.8444,                0.09504,                 1.1152,                0.95013,              0.0099901,              0.0099901,              0.0099901
                      8,                0.95576,                0.51401,                0.17633,                0.78317,                0.93199,                0.83178,                0.76784,                  0.895,                0.63873,                0.70808,                0.68554,                   0.71,                0.58417,                0.99135,                 1.3348,                0.09259,                 1.0026,                0.90561,              0.0099881,              0.0099881,              0.0099881
                      9,                0.91636,                0.42012,                 0.1618,                0.69409,                0.91461,                0.83149,                0.81984,                0.90705,                0.59337,                0.70338,                0.61589,                0.65542,                  0.573,                 1.2048,                 1.4359,                0.08429,                0.93597,                0.92686,              0.0099861,              0.0099861,              0.0099861
                     10,                0.91225,                0.39457,                0.14886,                0.68453,                0.91794,                0.69526,                0.76282,                0.81301,                0.56091,                0.63218,                0.70513,                0.72593,                 0.6027,                 1.0648,                 1.0671,                0.07701,                 1.1424,                0.91789,              0.0099842,              0.0099842,              0.0099842
                     11,                0.87803,                0.33249,                0.15087,                 0.6432,                0.90317,                0.71956,                0.84248,                 0.8364,                 0.5757,                0.68806,                0.81139,                0.78113,                0.63721,                  1.068,                0.92666,                0.07545,                0.91722,                0.90248,              0.0099822,              0.0099822,              0.0099822
                     12,                0.83757,                0.30854,                0.13885,                0.62915,                0.89329,                0.75937,                0.90201,                0.91692,                0.64929,                0.74127,                 0.7727,                0.81878,                0.71547,                  1.028,                0.92531,                0.08295,                0.83816,                0.90175,              0.0099802,              0.0099802,              0.0099802
                     13,                0.81301,                0.29339,                0.13915,                0.60139,                0.88254,                0.86121,                0.83856,                0.91598,                 0.6613,                0.82094,                 0.7569,                 0.8502,                0.74226,                 1.0208,                0.75355,                 0.0763,                0.84661,                 0.8845,              0.0099782,              0.0099782,              0.0099782
                     14,                0.80375,                0.26541,                0.14254,                0.58551,                 0.8833,                0.80226,                0.72229,                0.84365,                0.58726,                0.60135,                 0.6143,                0.64614,                0.60793,                 1.0762,                 1.2769,                0.07525,                0.84831,                0.90296,              0.0099762,              0.0099762,              0.0099762
                     15,                0.80269,                0.27198,                0.12851,                  0.601,                0.88428,                0.75073,                0.84281,                 0.8734,                0.60898,                0.70727,                0.79711,                0.81278,                0.73996,                 1.0506,                0.83847,                0.07331,                0.87474,                0.90552,              0.0099743,              0.0099743,              0.0099743
                     16,                 0.7605,                0.27373,                0.12422,                 0.5387,                0.87847,                0.95043,                0.90499,                0.97724,                0.74124,                0.90564,                0.85863,                0.92875,                0.88118,                0.88824,                0.51095,                0.05592,                0.59324,                0.86582,              0.0099723,              0.0099723,              0.0099723
                     17,                0.77324,                0.25486,                0.11941,                 0.5417,                0.87055,                0.88009,                 0.9359,                0.95909,                0.68869,                 0.8632,                0.91667,                0.93105,                 0.8731,                0.97076,                0.49554,                0.05269,                0.64998,                0.88212,              0.0099703,              0.0099703,              0.0099703
                     18,                0.74144,                  0.283,                0.11895,                0.53284,                0.87153,                0.84739,                0.86706,                0.94293,                0.75268,                 0.7926,                0.80756,                0.87946,                0.79926,                0.75855,                0.61212,                0.05286,                0.67162,                0.84564,              0.0099683,              0.0099683,              0.0099683
                     19,                 0.7291,                0.26595,                0.11549,                0.52706,                 0.8652,                0.89936,                0.93947,                0.96605,                0.71947,                0.85671,                0.89609,                0.90645,                0.81896,                0.94712,                0.64229,                0.04746,                0.63412,                0.88781,              0.0099663,              0.0099663,              0.0099663
                     20,                0.73884,                0.22788,                0.10524,                0.50409,                0.86953,                 0.9119,                0.81887,                0.91648,                0.71632,                0.86068,                0.77132,                0.86128,                0.82941,                0.83686,                0.51782,                0.04404,                 0.6829,                0.86439,              0.0099644,              0.0099644,              0.0099644
                     21,                0.72179,                 0.2457,                0.10514,                0.50304,                0.85904,                0.81132,                0.91272,                0.92708,                0.67416,                0.78234,                0.88067,                0.88331,                0.84061,                0.95457,                0.45612,                0.04232,                0.74739,                0.87441,              0.0099624,              0.0099624,              0.0099624
                     22,                 0.6746,                0.21396,                0.10361,                0.55489,                0.85208,                0.87326,                0.88783,                0.94804,                0.73344,                0.85008,                 0.8655,                0.89886,                 0.8578,                0.88662,                0.52467,                0.03854,                  0.799,                0.86102,              0.0099604,              0.0099604,              0.0099604
                     23,                0.71243,                0.21345,                0.10725,                0.53627,                0.85816,                0.85483,                 0.9017,                0.97672,                0.78032,                0.83876,                0.83095,                0.91571,                0.87574,                0.74136,                0.54342,                 0.0313,                0.75344,                0.83966,              0.0099584,              0.0099584,              0.0099584
                     24,                0.73178,                0.21798,                0.09797,                0.50393,                0.86445,                0.97171,                0.81291,                0.95089,                0.72293,                0.93665,                0.78143,                 0.9148,                0.85058,                0.89159,                0.61045,                0.04223,                0.61867,                0.88084,              0.0099564,              0.0099564,              0.0099564
                     25,                0.68086,                0.22851,                0.09542,                0.49429,                0.84933,                0.97907,                0.95365,                0.98505,                0.78555,                0.95363,                0.92801,                0.95494,                0.92531,                0.75863,                0.38035,                0.03286,                0.56878,                 0.8371,              0.0099545,              0.0099545,              0.0099545
                     26,                0.69804,                0.23168,                0.08996,                0.49458,                0.85501,                0.93972,                0.88303,                0.97434,                0.75005,                0.93251,                0.83408,                0.94962,                0.91587,                0.85464,                 0.4211,                0.03055,                0.61423,                0.86559,              0.0099525,              0.0099525,              0.0099525
                     27,                0.68012,                0.22414,                0.09174,                  0.469,                0.85492,                0.94999,                0.97821,                0.98947,                0.76041,                 0.9262,                0.95266,                0.96833,                 0.9465,                0.85721,                0.35033,                0.03282,                0.52441,                0.86113,              0.0099505,              0.0099505,              0.0099505
                     28,                0.67393,                0.20802,                0.09252,                0.48318,                0.84967,                0.93102,                0.95188,                0.98027,                0.77602,                0.89743,                0.91708,                0.93984,                0.91992,                0.77767,                0.37053,                0.03559,                0.57216,                0.83971,              0.0099485,              0.0099485,              0.0099485
                     29,                0.66775,                0.19698,                0.08745,                0.48266,                0.84743,                0.88557,                0.93485,                0.96772,                 0.7977,                0.85581,                0.90303,                 0.9233,                 0.8964,                0.68064,                0.41752,                0.03406,                0.55636,                0.83733,              0.0099465,              0.0099465,              0.0099465
                     30,                0.64819,                0.23082,                0.09074,                0.47813,                0.85328,                0.95243,                0.85961,                0.95307,                0.72845,                0.93079,                0.82579,                0.92202,                0.89378,                0.83826,                0.43839,                0.04487,                0.70603,                0.86768,              0.0099446,              0.0099446,              0.0099446
                     31,                0.64074,                0.19158,                0.08447,                0.44383,                0.84806,                0.91131,                0.92033,                0.96321,                0.75457,                0.88366,                0.88002,                0.92562,                0.90441,                0.79503,                0.35871,                0.03695,                0.63938,                0.84339,              0.0099426,              0.0099426,              0.0099426
                     32,                0.67915,                 0.1915,                0.08368,                0.44798,                0.84849,                0.92466,                0.91121,                0.95867,                0.78891,                0.90957,                0.88331,                0.93468,                0.91615,                0.70847,                0.28455,                0.02502,                0.56588,                0.83076,              0.0099406,              0.0099406,              0.0099406
                     33,                0.64992,                0.19805,                0.07993,                0.44699,                0.84434,                0.88212,                 0.9427,                0.96048,                0.77034,                0.85459,                0.91159,                0.91882,                0.91626,                 0.7552,                0.32579,                0.02223,                0.51479,                 0.8378,              0.0099386,              0.0099386,              0.0099386
                     34,                0.65038,                 0.1865,                0.07492,                0.44693,                0.83875,                0.93349,                0.95316,                0.98659,                0.82418,                0.92395,                0.94355,                0.96361,                0.94917,                0.68961,                0.29529,                 0.0213,                0.48881,                0.83093,              0.0099366,              0.0099366,              0.0099366
                     35,                0.60239,                0.19575,                0.08001,                0.43845,                0.83913,                0.89017,                0.90875,                0.97509,                0.80462,                0.87294,                0.89273,                0.95129,                0.92384,                0.66413,                0.33228,                0.04644,                0.56709,                0.83666,              0.0099347,              0.0099347,              0.0099347
                     36,                0.63075,                0.19411,                 0.0746,                0.44414,                0.84675,                0.93118,                0.94795,                0.96912,                0.77947,                0.91469,                0.92572,                0.93909,                0.91456,                0.76411,                0.34786,                0.02105,                0.49773,                0.84936,              0.0099327,              0.0099327,              0.0099327
                     37,                0.62694,                0.16952,                0.06629,                0.42961,                0.84146,                0.91471,                0.95133,                0.96791,                0.80133,                0.89586,                 0.9323,                0.95307,                0.93913,                0.72029,                0.24518,                0.01792,                0.50005,                0.83553,              0.0099307,              0.0099307,              0.0099307
                     38,                0.61153,                0.18692,                0.06704,                 0.4589,                0.83859,                0.95209,                0.95101,                0.98874,                0.80173,                0.92739,                0.92561,                0.95456,                0.93777,                0.71717,                0.32437,                0.01574,                0.48479,                0.83628,              0.0099287,              0.0099287,              0.0099287
                     39,                0.61678,                0.18858,                0.06719,                0.43207,                0.84367,                0.89934,                0.95508,                0.97844,                0.79363,                0.87222,                0.92087,                0.94058,                0.92425,                0.71794,                0.40721,                 0.0222,                0.51111,                0.83924,              0.0099267,              0.0099267,              0.0099267
                     40,                 0.6135,                0.18766,                0.07031,                0.43232,                0.83811,                0.94289,                0.96007,                0.98609,                0.82462,                0.91788,                0.93404,                0.95902,                0.95694,                0.66148,                0.25048,                0.01851,                0.45481,                0.82589,              0.0099248,              0.0099248,              0.0099248
                     41,                0.58991,                0.17966,                0.06085,                0.43095,                0.83833,                0.97698,                0.91767,                0.97932,                0.79075,                0.95154,                0.89203,                0.94952,                0.93831,                0.74484,                0.32647,                0.01581,                0.52947,                0.84081,              0.0099228,              0.0099228,              0.0099228
                     42,                0.61918,                0.16748,                0.06174,                0.42491,                0.83691,                0.83309,                0.95145,                0.97813,                0.82028,                0.81854,                0.93542,                0.95558,                0.94952,                0.68086,                0.23782,                0.01557,                0.52146,                0.82899,              0.0099208,              0.0099208,              0.0099208
                     43,                 0.6037,                0.13681,                 0.0605,                0.40461,                0.83752,                0.92608,                0.95339,                0.98668,                0.80768,                0.90149,                0.92777,                 0.9567,                0.95307,                 0.7557,                0.26677,                0.01496,                0.45513,                0.83736,              0.0099188,              0.0099188,              0.0099188
                     44,                0.57949,                0.13927,                0.05361,                0.40205,                0.83356,                0.92667,                0.93952,                0.98027,                0.81241,                0.89427,                0.90355,                0.94634,                 0.9283,                0.68226,                0.35016,                0.01351,                 0.4715,                0.82526,              0.0099168,              0.0099168,              0.0099168
                     45,                0.57233,                0.15147,                0.05947,                0.43229,                0.83603,                0.87221,                 0.9191,                0.95088,                0.76935,                 0.8384,                0.88406,                0.91044,                0.88885,                0.69685,                 0.3686,                0.01609,                0.53785,                0.83556,              0.0099149,              0.0099149,              0.0099149
                     46,                0.56958,                0.17035,                0.05593,                0.41064,                0.83347,                0.93348,                0.97277,                0.98348,                0.80579,                0.90828,                0.94715,                0.95412,                0.94462,                0.71893,                0.29215,                0.01856,                0.47354,                0.83126,              0.0099129,              0.0099129,              0.0099129
                     47,                0.58148,                0.17432,                0.05832,                0.42718,                0.84014,                0.93814,                0.94936,                0.98625,                0.84378,                 0.9135,                0.92404,                0.95514,                 0.9424,                0.60549,                0.28344,                0.02031,                0.45235,                0.81772,              0.0099109,              0.0099109,              0.0099109
                     48,                0.56174,                 0.1715,                0.04979,                0.40058,                0.83544,                0.92658,                 0.9628,                0.98981,                0.80026,                0.89498,                0.93106,                0.95225,                0.94008,                0.70318,                0.33949,                0.01269,                0.46958,                0.82801,              0.0099089,              0.0099089,              0.0099089
                     49,                0.59116,                 0.1922,                0.05127,                0.41013,                0.83376,                 0.9219,                0.88989,                0.96996,                0.79983,                0.95849,                0.83994,                0.93669,                0.93095,                0.68767,                0.27225,                0.01723,                0.52927,                0.82581,              0.0099069,              0.0099069,              0.0099069
                     50,                0.58019,                 0.1643,                0.04947,                0.39268,                0.82665,                0.95095,                0.95816,                0.97562,                0.81163,                0.91561,                0.92371,                0.94157,                0.92309,                0.68968,                0.27255,                0.01263,                0.52598,                0.81924,               0.009905,               0.009905,               0.009905
                     51,                0.56593,                0.15202,                0.05505,                0.39905,                0.83372,                0.92318,                0.93318,                0.96278,                0.80063,                0.89902,                0.90754,                 0.9398,                0.90345,                0.66608,                0.29883,                0.01418,                 0.4857,                0.83128,               0.009903,               0.009903,               0.009903
                     52,                0.58076,                0.14013,                0.05743,                0.40226,                0.83527,                0.81823,                0.97766,                0.99044,                0.80304,                0.80299,                0.95843,                0.96992,                0.95253,                 0.6995,                0.28077,                0.01163,                0.56545,                0.82512,               0.009901,               0.009901,               0.009901
                     53,                0.58603,                0.15325,                0.04624,                0.39413,                0.83116,                0.96934,                0.96563,                0.99302,                0.83829,                0.92748,                0.92407,                0.94915,                0.93522,                0.61516,                0.39423,                0.01284,                0.39848,                0.81596,               0.009899,               0.009899,               0.009899
                     54,                0.55668,                0.14346,                0.05377,                0.40004,                0.83212,                0.93925,                0.99127,                0.99301,                0.84045,                0.96296,                  0.921,                0.96993,                0.95645,                0.64577,                0.25008,                0.01491,                0.42013,                 0.8164,               0.009897,               0.009897,               0.009897
                     55,                0.58953,                 0.1492,                0.05271,                0.39099,                0.83166,                0.94164,                0.94284,                0.98154,                0.80858,                0.89729,                0.89797,                0.93331,                0.91491,                0.71323,                 0.3868,                0.01357,                0.44224,                0.82041,              0.0098951,              0.0098951,              0.0098951
                     56,                0.56985,                0.16616,                0.05301,                0.38255,                0.82591,                0.97922,                0.97709,                0.98785,                0.83329,                0.95385,                0.95145,                0.96459,                0.95577,                0.63816,                0.22369,                0.01259,                 0.4182,                0.81705,              0.0098931,              0.0098931,              0.0098931
                     57,                0.56319,                0.15206,                0.04873,                0.39863,                 0.8238,                0.97256,                0.96113,                0.99265,                0.83639,                0.94706,                0.93549,                0.96398,                0.95453,                0.61921,                0.26823,                0.01108,                0.41024,                0.81892,              0.0098911,              0.0098911,              0.0098911
                     58,                0.55304,                 0.1346,                 0.0473,                0.41508,                 0.8228,                 0.9496,                0.84563,                0.91791,                 0.7481,                0.92686,                0.80884,                0.87956,                0.85701,                0.71533,                0.44774,                0.11826,                0.72318,                0.83987,              0.0098891,              0.0098891,              0.0098891
